"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",26,1273,6,1305,2021-07-01
"20 - 24",2,428,3,433,2021-07-01
"25 - 29",8,725,2,735,2021-07-01
"30 - 34",3,1081,10,1094,2021-07-01
"35 - 39",8,1272,11,1291,2021-07-01
"40 - 44",9,1623,12,1644,2021-07-01
"45 - 49",10,2766,25,2801,2021-07-01
"50 - 54",34,4332,73,4439,2021-07-01
"55 - 59",28,5324,128,5480,2021-07-01
"60 - 64",18,5328,239,5585,2021-07-01
"65 - 69",24,5287,500,5811,2021-07-01
"70 - 74",39,6231,1056,7326,2021-07-01
"75 - 79",32,5843,1722,7597,2021-07-01
"80 - 84",26,4545,1957,6528,2021-07-01
"85 - 89",18,2782,1442,4242,2021-07-01
">90",7,1218,602,1827,2021-07-01
