"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1251,7,1286,2021-06-20
"20 - 24",3,421,3,427,2021-06-20
"25 - 29",11,716,2,729,2021-06-20
"30 - 34",6,1074,10,1090,2021-06-20
"35 - 39",6,1259,11,1276,2021-06-20
"40 - 44",18,1603,12,1633,2021-06-20
"45 - 49",17,2752,25,2794,2021-06-20
"50 - 54",43,4309,72,4424,2021-06-20
"55 - 59",47,5295,128,5470,2021-06-20
"60 - 64",39,5301,239,5579,2021-06-20
"65 - 69",44,5267,498,5809,2021-06-20
"70 - 74",53,6210,1053,7316,2021-06-20
"75 - 79",53,5819,1719,7591,2021-06-20
"80 - 84",46,4530,1950,6526,2021-06-20
"85 - 89",25,2776,1440,4241,2021-06-20
">90",12,1213,600,1825,2021-06-20
