"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1233,6,1274,2021-06-01
"20 - 24",3,412,3,418,2021-06-01
"25 - 29",15,698,2,715,2021-06-01
"30 - 34",18,1045,11,1074,2021-06-01
"35 - 39",27,1209,11,1247,2021-06-01
"40 - 44",30,1554,12,1596,2021-06-01
"45 - 49",55,2661,24,2740,2021-06-01
"50 - 54",83,4187,72,4342,2021-06-01
"55 - 59",94,5154,127,5375,2021-06-01
"60 - 64",69,5231,235,5535,2021-06-01
"65 - 69",85,5183,494,5762,2021-06-01
"70 - 74",100,6149,1035,7284,2021-06-01
"75 - 79",98,5761,1705,7564,2021-06-01
"80 - 84",85,4490,1930,6505,2021-06-01
"85 - 89",41,2745,1430,4216,2021-06-01
">90",23,1204,597,1824,2021-06-01
