"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1259,6,1297,2021-06-23
"20 - 24",3,424,3,430,2021-06-23
"25 - 29",10,719,2,731,2021-06-23
"30 - 34",7,1079,10,1096,2021-06-23
"35 - 39",9,1266,11,1286,2021-06-23
"40 - 44",9,1616,12,1637,2021-06-23
"45 - 49",16,2758,25,2799,2021-06-23
"50 - 54",39,4319,73,4431,2021-06-23
"55 - 59",33,5308,128,5469,2021-06-23
"60 - 64",38,5310,239,5587,2021-06-23
"65 - 69",34,5275,499,5808,2021-06-23
"70 - 74",50,6218,1054,7322,2021-06-23
"75 - 79",54,5826,1720,7600,2021-06-23
"80 - 84",39,4535,1953,6527,2021-06-23
"85 - 89",20,2780,1441,4241,2021-06-23
">90",8,1216,600,1824,2021-06-23
