"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,581,3,619,2020-11-25
"20 - 24",5,173,0,178,2020-11-25
"25 - 29",10,324,1,335,2020-11-25
"30 - 34",18,405,3,426,2020-11-25
"35 - 39",24,478,7,509,2020-11-25
"40 - 44",33,630,3,666,2020-11-25
"45 - 49",42,1018,15,1075,2020-11-25
"50 - 54",93,1588,36,1717,2020-11-25
"55 - 59",127,1899,47,2073,2020-11-25
"60 - 64",140,2100,95,2335,2020-11-25
"65 - 69",167,2041,187,2395,2020-11-25
"70 - 74",193,2462,410,3065,2020-11-25
"75 - 79",240,2334,688,3262,2020-11-25
"80 - 84",222,1914,869,3005,2020-11-25
"85 - 89",143,1200,657,2000,2020-11-25
">90",53,503,240,796,2020-11-25
