"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",25,1282,6,1313,2021-07-07
"20 - 24",1,428,3,432,2021-07-07
"25 - 29",5,728,2,735,2021-07-07
"30 - 34",3,1083,10,1096,2021-07-07
"35 - 39",4,1276,11,1291,2021-07-07
"40 - 44",10,1626,12,1648,2021-07-07
"45 - 49",6,2772,25,2803,2021-07-07
"50 - 54",27,4339,73,4439,2021-07-07
"55 - 59",19,5331,128,5478,2021-07-07
"60 - 64",13,5337,240,5590,2021-07-07
"65 - 69",20,5290,502,5812,2021-07-07
"70 - 74",26,6246,1056,7328,2021-07-07
"75 - 79",19,5852,1724,7595,2021-07-07
"80 - 84",15,4554,1959,6528,2021-07-07
"85 - 89",13,2787,1444,4244,2021-07-07
">90",4,1220,603,1827,2021-07-07
