"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,621,3,661,2020-12-07
"20 - 24",11,181,0,192,2020-12-07
"25 - 29",10,338,1,349,2020-12-07
"30 - 34",15,431,3,449,2020-12-07
"35 - 39",20,515,8,543,2020-12-07
"40 - 44",27,665,4,696,2020-12-07
"45 - 49",54,1086,16,1156,2020-12-07
"50 - 54",94,1693,37,1824,2020-12-07
"55 - 59",105,2058,50,2213,2020-12-07
"60 - 64",112,2254,103,2469,2020-12-07
"65 - 69",164,2190,196,2550,2020-12-07
"70 - 74",184,2656,439,3279,2020-12-07
"75 - 79",220,2541,743,3504,2020-12-07
"80 - 84",229,2071,930,3230,2020-12-07
"85 - 89",141,1306,717,2164,2020-12-07
">90",56,555,256,867,2020-12-07
