"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",43,667,3,713,2020-12-18
"20 - 24",12,198,0,210,2020-12-18
"25 - 29",13,359,2,374,2020-12-18
"30 - 34",22,465,3,490,2020-12-18
"35 - 39",20,560,8,588,2020-12-18
"40 - 44",40,705,4,749,2020-12-18
"45 - 49",54,1171,16,1241,2020-12-18
"50 - 54",124,1802,39,1965,2020-12-18
"55 - 59",127,2209,54,2390,2020-12-18
"60 - 64",162,2397,110,2669,2020-12-18
"65 - 69",201,2365,220,2786,2020-12-18
"70 - 74",268,2846,476,3590,2020-12-18
"75 - 79",315,2741,796,3852,2020-12-18
"80 - 84",273,2274,985,3532,2020-12-18
"85 - 89",176,1449,780,2405,2020-12-18
">90",74,622,283,979,2020-12-18
