"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1231,6,1275,2021-06-07
"20 - 24",5,413,3,421,2021-06-07
"25 - 29",17,701,2,720,2021-06-07
"30 - 34",18,1051,11,1080,2021-06-07
"35 - 39",21,1231,11,1263,2021-06-07
"40 - 44",25,1577,12,1614,2021-06-07
"45 - 49",48,2691,25,2764,2021-06-07
"50 - 54",71,4240,72,4383,2021-06-07
"55 - 59",93,5209,127,5429,2021-06-07
"60 - 64",64,5262,238,5564,2021-06-07
"65 - 69",80,5217,495,5792,2021-06-07
"70 - 74",81,6176,1044,7301,2021-06-07
"75 - 79",83,5780,1709,7572,2021-06-07
"80 - 84",76,4505,1941,6522,2021-06-07
"85 - 89",37,2755,1436,4228,2021-06-07
">90",16,1209,598,1823,2021-06-07
