"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1255,6,1294,2021-06-21
"20 - 24",4,422,3,429,2021-06-21
"25 - 29",11,716,2,729,2021-06-21
"30 - 34",8,1075,10,1093,2021-06-21
"35 - 39",11,1259,11,1281,2021-06-21
"40 - 44",17,1607,12,1636,2021-06-21
"45 - 49",18,2753,25,2796,2021-06-21
"50 - 54",41,4313,72,4426,2021-06-21
"55 - 59",42,5301,128,5471,2021-06-21
"60 - 64",41,5301,239,5581,2021-06-21
"65 - 69",42,5271,498,5811,2021-06-21
"70 - 74",52,6211,1053,7316,2021-06-21
"75 - 79",51,5820,1720,7591,2021-06-21
"80 - 84",46,4530,1951,6527,2021-06-21
"85 - 89",23,2776,1441,4240,2021-06-21
">90",12,1214,600,1826,2021-06-21
