"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,601,3,638,2020-12-03
"20 - 24",4,180,0,184,2020-12-03
"25 - 29",7,330,1,338,2020-12-03
"30 - 34",15,423,3,441,2020-12-03
"35 - 39",29,497,7,533,2020-12-03
"40 - 44",28,654,3,685,2020-12-03
"45 - 49",55,1058,16,1129,2020-12-03
"50 - 54",78,1658,37,1773,2020-12-03
"55 - 59",121,2003,48,2172,2020-12-03
"60 - 64",111,2204,101,2416,2020-12-03
"65 - 69",143,2143,192,2478,2020-12-03
"70 - 74",187,2580,429,3196,2020-12-03
"75 - 79",217,2473,723,3413,2020-12-03
"80 - 84",184,2032,908,3124,2020-12-03
"85 - 89",124,1278,700,2102,2020-12-03
">90",53,536,252,841,2020-12-03
