"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,494,2,531,2020-11-05
"20 - 24",8,143,0,151,2020-11-05
"25 - 29",9,283,1,293,2020-11-05
"30 - 34",19,341,3,363,2020-11-05
"35 - 39",20,418,6,444,2020-11-05
"40 - 44",45,527,3,575,2020-11-05
"45 - 49",51,888,14,953,2020-11-05
"50 - 54",105,1355,34,1494,2020-11-05
"55 - 59",120,1595,44,1759,2020-11-05
"60 - 64",172,1737,85,1994,2020-11-05
"65 - 69",200,1644,163,2007,2020-11-05
"70 - 74",270,2051,366,2687,2020-11-05
"75 - 79",300,1900,599,2799,2020-11-05
"80 - 84",296,1516,720,2532,2020-11-05
"85 - 89",194,954,549,1697,2020-11-05
">90",70,402,201,673,2020-11-05
