"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,540,2,581,2020-11-14
"20 - 24",4,160,0,164,2020-11-14
"25 - 29",10,302,1,313,2020-11-14
"30 - 34",17,364,3,384,2020-11-14
"35 - 39",15,446,7,468,2020-11-14
"40 - 44",36,585,3,624,2020-11-14
"45 - 49",46,959,14,1019,2020-11-14
"50 - 54",89,1482,35,1606,2020-11-14
"55 - 59",134,1748,45,1927,2020-11-14
"60 - 64",156,1915,88,2159,2020-11-14
"65 - 69",176,1852,175,2203,2020-11-14
"70 - 74",219,2269,388,2876,2020-11-14
"75 - 79",234,2141,647,3022,2020-11-14
"80 - 84",258,1719,801,2778,2020-11-14
"85 - 89",146,1071,618,1835,2020-11-14
">90",58,455,218,731,2020-11-14
