"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",48,688,3,739,2020-12-25
"20 - 24",11,209,0,220,2020-12-25
"25 - 29",17,368,3,388,2020-12-25
"30 - 34",13,491,3,507,2020-12-25
"35 - 39",28,576,9,613,2020-12-25
"40 - 44",37,745,4,786,2020-12-25
"45 - 49",58,1217,17,1292,2020-12-25
"50 - 54",129,1902,43,2074,2020-12-25
"55 - 59",166,2312,59,2537,2020-12-25
"60 - 64",182,2523,114,2819,2020-12-25
"65 - 69",214,2483,235,2932,2020-12-25
"70 - 74",295,2999,501,3795,2020-12-25
"75 - 79",348,2910,837,4095,2020-12-25
"80 - 84",330,2391,1044,3765,2020-12-25
"85 - 89",190,1549,816,2555,2020-12-25
">90",75,662,302,1039,2020-12-25
