"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",47,703,3,753,2020-12-29
"20 - 24",11,213,0,224,2020-12-29
"25 - 29",13,378,3,394,2020-12-29
"30 - 34",22,499,3,524,2020-12-29
"35 - 39",30,591,9,630,2020-12-29
"40 - 44",49,761,4,814,2020-12-29
"45 - 49",69,1251,19,1339,2020-12-29
"50 - 54",138,1954,45,2137,2020-12-29
"55 - 59",162,2381,60,2603,2020-12-29
"60 - 64",216,2593,118,2927,2020-12-29
"65 - 69",221,2558,246,3025,2020-12-29
"70 - 74",357,3080,517,3954,2020-12-29
"75 - 79",396,3002,873,4271,2020-12-29
"80 - 84",380,2464,1083,3927,2020-12-29
"85 - 89",234,1583,852,2669,2020-12-29
">90",88,679,318,1085,2020-12-29
