"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",44,668,3,715,2020-12-20
"20 - 24",12,200,0,212,2020-12-20
"25 - 29",12,361,2,375,2020-12-20
"30 - 34",26,466,3,495,2020-12-20
"35 - 39",20,562,8,590,2020-12-20
"40 - 44",42,711,4,757,2020-12-20
"45 - 49",54,1181,16,1251,2020-12-20
"50 - 54",117,1830,40,1987,2020-12-20
"55 - 59",135,2225,57,2417,2020-12-20
"60 - 64",162,2421,111,2694,2020-12-20
"65 - 69",212,2381,224,2817,2020-12-20
"70 - 74",275,2879,477,3631,2020-12-20
"75 - 79",312,2778,805,3895,2020-12-20
"80 - 84",282,2293,997,3572,2020-12-20
"85 - 89",174,1472,786,2432,2020-12-20
">90",79,632,287,998,2020-12-20
