"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",43,678,3,724,2020-12-22
"20 - 24",10,203,0,213,2020-12-22
"25 - 29",14,363,3,380,2020-12-22
"30 - 34",20,482,3,505,2020-12-22
"35 - 39",24,569,8,601,2020-12-22
"40 - 44",41,723,4,768,2020-12-22
"45 - 49",70,1186,16,1272,2020-12-22
"50 - 54",125,1856,40,2021,2020-12-22
"55 - 59",145,2255,59,2459,2020-12-22
"60 - 64",157,2464,112,2733,2020-12-22
"65 - 69",202,2436,229,2867,2020-12-22
"70 - 74",267,2935,489,3691,2020-12-22
"75 - 79",335,2825,819,3979,2020-12-22
"80 - 84",331,2327,1021,3679,2020-12-22
"85 - 89",193,1499,802,2494,2020-12-22
">90",84,644,298,1026,2020-12-22
