"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",24,896,4,924,2021-03-21
"20 - 24",7,293,1,301,2021-03-21
"25 - 29",15,502,2,519,2021-03-21
"30 - 34",17,716,6,739,2021-03-21
"35 - 39",29,816,8,853,2021-03-21
"40 - 44",48,1085,8,1141,2021-03-21
"45 - 49",71,1809,21,1901,2021-03-21
"50 - 54",111,2899,59,3069,2021-03-21
"55 - 59",129,3609,94,3832,2021-03-21
"60 - 64",144,3919,187,4250,2021-03-21
"65 - 69",179,3774,396,4349,2021-03-21
"70 - 74",216,4673,815,5704,2021-03-21
"75 - 79",216,4516,1367,6099,2021-03-21
"80 - 84",175,3867,1663,5705,2021-03-21
"85 - 89",88,2442,1300,3830,2021-03-21
">90",37,1048,529,1614,2021-03-21
