"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",48,684,3,735,2020-12-23
"20 - 24",12,205,0,217,2020-12-23
"25 - 29",13,364,3,380,2020-12-23
"30 - 34",15,486,3,504,2020-12-23
"35 - 39",25,572,8,605,2020-12-23
"40 - 44",43,730,4,777,2020-12-23
"45 - 49",65,1196,17,1278,2020-12-23
"50 - 54",132,1873,40,2045,2020-12-23
"55 - 59",160,2262,59,2481,2020-12-23
"60 - 64",166,2487,112,2765,2020-12-23
"65 - 69",200,2457,229,2886,2020-12-23
"70 - 74",283,2957,495,3735,2020-12-23
"75 - 79",354,2849,828,4031,2020-12-23
"80 - 84",345,2348,1026,3719,2020-12-23
"85 - 89",183,1519,806,2508,2020-12-23
">90",76,652,300,1028,2020-12-23
