"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,646,3,685,2020-12-14
"20 - 24",13,193,0,206,2020-12-14
"25 - 29",11,351,2,364,2020-12-14
"30 - 34",18,447,3,468,2020-12-14
"35 - 39",20,543,8,571,2020-12-14
"40 - 44",37,687,4,728,2020-12-14
"45 - 49",55,1140,16,1211,2020-12-14
"50 - 54",107,1765,39,1911,2020-12-14
"55 - 59",119,2147,53,2319,2020-12-14
"60 - 64",147,2332,108,2587,2020-12-14
"65 - 69",188,2291,208,2687,2020-12-14
"70 - 74",239,2764,455,3458,2020-12-14
"75 - 79",259,2659,776,3694,2020-12-14
"80 - 84",242,2188,969,3399,2020-12-14
"85 - 89",172,1388,754,2314,2020-12-14
">90",70,595,276,941,2020-12-14
