"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,568,3,612,2020-11-22
"20 - 24",7,168,0,175,2020-11-22
"25 - 29",10,319,1,330,2020-11-22
"30 - 34",26,390,3,419,2020-11-22
"35 - 39",23,468,7,498,2020-11-22
"40 - 44",31,618,3,652,2020-11-22
"45 - 49",37,1006,14,1057,2020-11-22
"50 - 54",93,1554,36,1683,2020-11-22
"55 - 59",105,1863,47,2015,2020-11-22
"60 - 64",154,2049,94,2297,2020-11-22
"65 - 69",170,1982,185,2337,2020-11-22
"70 - 74",193,2398,406,2997,2020-11-22
"75 - 79",246,2282,673,3201,2020-11-22
"80 - 84",211,1870,856,2937,2020-11-22
"85 - 89",133,1172,648,1953,2020-11-22
">90",42,492,235,769,2020-11-22
