"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",24,1287,6,1317,2021-07-10
"20 - 24",5,428,3,436,2021-07-10
"25 - 29",5,730,2,737,2021-07-10
"30 - 34",3,1083,10,1096,2021-07-10
"35 - 39",3,1278,11,1292,2021-07-10
"40 - 44",9,1629,12,1650,2021-07-10
"45 - 49",7,2773,25,2805,2021-07-10
"50 - 54",28,4339,73,4440,2021-07-10
"55 - 59",19,5335,128,5482,2021-07-10
"60 - 64",16,5338,240,5594,2021-07-10
"65 - 69",16,5294,502,5812,2021-07-10
"70 - 74",19,6252,1056,7327,2021-07-10
"75 - 79",15,5852,1724,7591,2021-07-10
"80 - 84",19,4555,1959,6533,2021-07-10
"85 - 89",10,2789,1445,4244,2021-07-10
">90",5,1220,603,1828,2021-07-10
