"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,589,3,627,2020-11-29
"20 - 24",7,178,0,185,2020-11-29
"25 - 29",7,328,1,336,2020-11-29
"30 - 34",10,418,3,431,2020-11-29
"35 - 39",24,486,7,517,2020-11-29
"40 - 44",30,644,3,677,2020-11-29
"45 - 49",52,1037,15,1104,2020-11-29
"50 - 54",86,1618,36,1740,2020-11-29
"55 - 59",123,1945,48,2116,2020-11-29
"60 - 64",131,2143,99,2373,2020-11-29
"65 - 69",157,2087,188,2432,2020-11-29
"70 - 74",183,2522,418,3123,2020-11-29
"75 - 79",233,2412,701,3346,2020-11-29
"80 - 84",192,1982,893,3067,2020-11-29
"85 - 89",144,1237,678,2059,2020-11-29
">90",49,521,245,815,2020-11-29
