"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",52,691,3,746,2020-12-26
"20 - 24",9,211,0,220,2020-12-26
"25 - 29",16,371,3,390,2020-12-26
"30 - 34",15,493,3,511,2020-12-26
"35 - 39",24,580,9,613,2020-12-26
"40 - 44",35,750,4,789,2020-12-26
"45 - 49",64,1224,17,1305,2020-12-26
"50 - 54",129,1908,43,2080,2020-12-26
"55 - 59",159,2325,60,2544,2020-12-26
"60 - 64",186,2538,115,2839,2020-12-26
"65 - 69",217,2496,236,2949,2020-12-26
"70 - 74",307,3007,504,3818,2020-12-26
"75 - 79",351,2930,848,4129,2020-12-26
"80 - 84",339,2406,1049,3794,2020-12-26
"85 - 89",197,1552,824,2573,2020-12-26
">90",78,666,305,1049,2020-12-26
