"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1245,7,1285,2021-06-10
"20 - 24",4,416,3,423,2021-06-10
"25 - 29",12,707,2,721,2021-06-10
"30 - 34",18,1060,11,1089,2021-06-10
"35 - 39",12,1245,11,1268,2021-06-10
"40 - 44",19,1589,12,1620,2021-06-10
"45 - 49",39,2717,25,2781,2021-06-10
"50 - 54",62,4266,72,4400,2021-06-10
"55 - 59",71,5249,127,5447,2021-06-10
"60 - 64",55,5272,238,5565,2021-06-10
"65 - 69",61,5241,496,5798,2021-06-10
"70 - 74",77,6187,1047,7311,2021-06-10
"75 - 79",68,5799,1715,7582,2021-06-10
"80 - 84",59,4516,1946,6521,2021-06-10
"85 - 89",27,2765,1438,4230,2021-06-10
">90",18,1210,598,1826,2021-06-10
