"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",45,512,2,559,2020-11-10
"20 - 24",5,151,0,156,2020-11-10
"25 - 29",11,293,1,305,2020-11-10
"30 - 34",13,357,3,373,2020-11-10
"35 - 39",17,433,7,457,2020-11-10
"40 - 44",34,563,3,600,2020-11-10
"45 - 49",52,930,14,996,2020-11-10
"50 - 54",80,1436,34,1550,2020-11-10
"55 - 59",129,1681,45,1855,2020-11-10
"60 - 64",153,1837,87,2077,2020-11-10
"65 - 69",192,1754,168,2114,2020-11-10
"70 - 74",223,2168,381,2772,2020-11-10
"75 - 79",290,2025,624,2939,2020-11-10
"80 - 84",263,1625,771,2659,2020-11-10
"85 - 89",167,1018,591,1776,2020-11-10
">90",72,430,209,711,2020-11-10
