"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1272,6,1311,2021-06-30
"20 - 24",2,428,3,433,2021-06-30
"25 - 29",8,725,2,735,2021-06-30
"30 - 34",3,1081,10,1094,2021-06-30
"35 - 39",9,1271,11,1291,2021-06-30
"40 - 44",9,1623,12,1644,2021-06-30
"45 - 49",12,2766,25,2803,2021-06-30
"50 - 54",35,4330,73,4438,2021-06-30
"55 - 59",27,5323,128,5478,2021-06-30
"60 - 64",22,5327,239,5588,2021-06-30
"65 - 69",23,5286,500,5809,2021-06-30
"70 - 74",42,6230,1056,7328,2021-06-30
"75 - 79",35,5842,1721,7598,2021-06-30
"80 - 84",28,4544,1957,6529,2021-06-30
"85 - 89",20,2782,1442,4244,2021-06-30
">90",8,1218,602,1828,2021-06-30
