"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,660,3,704,2020-12-17
"20 - 24",12,197,0,209,2020-12-17
"25 - 29",13,356,2,371,2020-12-17
"30 - 34",17,461,3,481,2020-12-17
"35 - 39",22,555,8,585,2020-12-17
"40 - 44",30,703,4,737,2020-12-17
"45 - 49",52,1167,16,1235,2020-12-17
"50 - 54",127,1789,39,1955,2020-12-17
"55 - 59",110,2195,54,2359,2020-12-17
"60 - 64",149,2381,109,2639,2020-12-17
"65 - 69",186,2350,218,2754,2020-12-17
"70 - 74",259,2822,470,3551,2020-12-17
"75 - 79",309,2719,792,3820,2020-12-17
"80 - 84",266,2256,981,3503,2020-12-17
"85 - 89",165,1433,773,2371,2020-12-17
">90",76,613,281,970,2020-12-17
