"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1247,7,1285,2021-06-11
"20 - 24",4,416,3,423,2021-06-11
"25 - 29",14,707,2,723,2021-06-11
"30 - 34",19,1062,11,1092,2021-06-11
"35 - 39",12,1246,11,1269,2021-06-11
"40 - 44",19,1591,12,1622,2021-06-11
"45 - 49",39,2719,25,2783,2021-06-11
"50 - 54",65,4271,72,4408,2021-06-11
"55 - 59",62,5256,128,5446,2021-06-11
"60 - 64",51,5276,238,5565,2021-06-11
"65 - 69",63,5243,497,5803,2021-06-11
"70 - 74",75,6193,1048,7316,2021-06-11
"75 - 79",67,5799,1715,7581,2021-06-11
"80 - 84",60,4518,1946,6524,2021-06-11
"85 - 89",27,2766,1438,4231,2021-06-11
">90",18,1211,598,1827,2021-06-11
