"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1154,6,1195,2021-05-19
"20 - 24",14,386,1,401,2021-05-19
"25 - 29",16,666,2,684,2021-05-19
"30 - 34",14,1005,10,1029,2021-05-19
"35 - 39",27,1162,10,1199,2021-05-19
"40 - 44",32,1501,11,1544,2021-05-19
"45 - 49",70,2544,24,2638,2021-05-19
"50 - 54",139,3972,71,4182,2021-05-19
"55 - 59",143,4951,123,5217,2021-05-19
"60 - 64",126,5059,223,5408,2021-05-19
"65 - 69",159,5007,479,5645,2021-05-19
"70 - 74",175,5992,1009,7176,2021-05-19
"75 - 79",178,5624,1678,7480,2021-05-19
"80 - 84",100,4417,1901,6418,2021-05-19
"85 - 89",53,2706,1423,4182,2021-05-19
">90",24,1178,591,1793,2021-05-19
