"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1252,7,1287,2021-06-19
"20 - 24",4,420,3,427,2021-06-19
"25 - 29",11,715,2,728,2021-06-19
"30 - 34",6,1074,10,1090,2021-06-19
"35 - 39",6,1258,11,1275,2021-06-19
"40 - 44",19,1602,12,1633,2021-06-19
"45 - 49",19,2750,25,2794,2021-06-19
"50 - 54",43,4309,72,4424,2021-06-19
"55 - 59",45,5295,128,5468,2021-06-19
"60 - 64",39,5301,239,5579,2021-06-19
"65 - 69",43,5267,498,5808,2021-06-19
"70 - 74",54,6209,1052,7315,2021-06-19
"75 - 79",50,5817,1719,7586,2021-06-19
"80 - 84",47,4530,1949,6526,2021-06-19
"85 - 89",24,2776,1440,4240,2021-06-19
">90",12,1213,600,1825,2021-06-19
