"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",43,535,2,580,2020-11-13
"20 - 24",2,159,0,161,2020-11-13
"25 - 29",8,301,1,310,2020-11-13
"30 - 34",14,361,3,378,2020-11-13
"35 - 39",14,443,7,464,2020-11-13
"40 - 44",34,578,3,615,2020-11-13
"45 - 49",49,953,14,1016,2020-11-13
"50 - 54",83,1471,35,1589,2020-11-13
"55 - 59",136,1728,45,1909,2020-11-13
"60 - 64",155,1894,88,2137,2020-11-13
"65 - 69",179,1829,173,2181,2020-11-13
"70 - 74",211,2250,387,2848,2020-11-13
"75 - 79",246,2118,643,3007,2020-11-13
"80 - 84",248,1701,798,2747,2020-11-13
"85 - 89",150,1057,616,1823,2020-11-13
">90",61,449,217,727,2020-11-13
