"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1257,7,1298,2021-06-15
"20 - 24",2,419,3,424,2021-06-15
"25 - 29",11,714,2,727,2021-06-15
"30 - 34",9,1073,11,1093,2021-06-15
"35 - 39",13,1253,11,1277,2021-06-15
"40 - 44",17,1599,12,1628,2021-06-15
"45 - 49",29,2737,25,2791,2021-06-15
"50 - 54",50,4298,72,4420,2021-06-15
"55 - 59",60,5279,129,5468,2021-06-15
"60 - 64",44,5292,240,5576,2021-06-15
"65 - 69",46,5262,498,5806,2021-06-15
"70 - 74",59,6209,1051,7319,2021-06-15
"75 - 79",54,5818,1717,7589,2021-06-15
"80 - 84",52,4523,1950,6525,2021-06-15
"85 - 89",26,2774,1438,4238,2021-06-15
">90",17,1215,598,1830,2021-06-15
