"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1262,6,1300,2021-06-27
"20 - 24",2,426,3,431,2021-06-27
"25 - 29",10,721,2,733,2021-06-27
"30 - 34",6,1079,10,1095,2021-06-27
"35 - 39",6,1270,11,1287,2021-06-27
"40 - 44",11,1620,12,1643,2021-06-27
"45 - 49",13,2761,25,2799,2021-06-27
"50 - 54",34,4324,73,4431,2021-06-27
"55 - 59",28,5316,128,5472,2021-06-27
"60 - 64",31,5317,239,5587,2021-06-27
"65 - 69",29,5279,499,5807,2021-06-27
"70 - 74",48,6224,1055,7327,2021-06-27
"75 - 79",48,5831,1721,7600,2021-06-27
"80 - 84",36,4538,1953,6527,2021-06-27
"85 - 89",19,2782,1441,4242,2021-06-27
">90",7,1217,601,1825,2021-06-27
