"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1255,7,1294,2021-06-14
"20 - 24",3,418,3,424,2021-06-14
"25 - 29",13,712,2,727,2021-06-14
"30 - 34",10,1069,11,1090,2021-06-14
"35 - 39",15,1251,11,1277,2021-06-14
"40 - 44",18,1596,12,1626,2021-06-14
"45 - 49",39,2728,25,2792,2021-06-14
"50 - 54",56,4290,72,4418,2021-06-14
"55 - 59",57,5272,129,5458,2021-06-14
"60 - 64",46,5288,239,5573,2021-06-14
"65 - 69",54,5254,498,5806,2021-06-14
"70 - 74",66,6203,1049,7318,2021-06-14
"75 - 79",56,5814,1716,7586,2021-06-14
"80 - 84",57,4522,1949,6528,2021-06-14
"85 - 89",25,2771,1438,4234,2021-06-14
">90",20,1213,598,1831,2021-06-14
