"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,594,3,639,2020-11-30
"20 - 24",6,177,0,183,2020-11-30
"25 - 29",7,328,1,336,2020-11-30
"30 - 34",8,420,3,431,2020-11-30
"35 - 39",23,488,7,518,2020-11-30
"40 - 44",30,646,3,679,2020-11-30
"45 - 49",54,1038,15,1107,2020-11-30
"50 - 54",91,1626,37,1754,2020-11-30
"55 - 59",123,1949,48,2120,2020-11-30
"60 - 64",125,2156,100,2381,2020-11-30
"65 - 69",168,2093,188,2449,2020-11-30
"70 - 74",188,2533,420,3141,2020-11-30
"75 - 79",234,2422,704,3360,2020-11-30
"80 - 84",198,1987,897,3082,2020-11-30
"85 - 89",144,1240,684,2068,2020-11-30
">90",53,521,246,820,2020-11-30
