"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",46,520,2,568,2020-11-11
"20 - 24",3,153,0,156,2020-11-11
"25 - 29",12,296,1,309,2020-11-11
"30 - 34",20,357,3,380,2020-11-11
"35 - 39",12,439,7,458,2020-11-11
"40 - 44",31,568,3,602,2020-11-11
"45 - 49",49,936,14,999,2020-11-11
"50 - 54",89,1449,34,1572,2020-11-11
"55 - 59",122,1700,45,1867,2020-11-11
"60 - 64",145,1857,87,2089,2020-11-11
"65 - 69",191,1774,170,2135,2020-11-11
"70 - 74",227,2192,383,2802,2020-11-11
"75 - 79",285,2052,627,2964,2020-11-11
"80 - 84",262,1646,784,2692,2020-11-11
"85 - 89",161,1033,598,1792,2020-11-11
">90",70,434,211,715,2020-11-11
