"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,626,3,663,2020-12-08
"20 - 24",11,182,0,193,2020-12-08
"25 - 29",8,340,1,349,2020-12-08
"30 - 34",15,432,3,450,2020-12-08
"35 - 39",22,520,8,550,2020-12-08
"40 - 44",30,667,4,701,2020-12-08
"45 - 49",55,1091,16,1162,2020-12-08
"50 - 54",87,1715,38,1840,2020-12-08
"55 - 59",112,2070,50,2232,2020-12-08
"60 - 64",128,2261,103,2492,2020-12-08
"65 - 69",171,2205,197,2573,2020-12-08
"70 - 74",183,2674,446,3303,2020-12-08
"75 - 79",222,2561,745,3528,2020-12-08
"80 - 84",228,2094,935,3257,2020-12-08
"85 - 89",149,1321,725,2195,2020-12-08
">90",66,562,257,885,2020-12-08
