"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,641,3,678,2020-12-12
"20 - 24",17,185,0,202,2020-12-12
"25 - 29",13,345,2,360,2020-12-12
"30 - 34",17,441,3,461,2020-12-12
"35 - 39",19,540,8,567,2020-12-12
"40 - 44",28,683,4,715,2020-12-12
"45 - 49",52,1131,16,1199,2020-12-12
"50 - 54",96,1753,38,1887,2020-12-12
"55 - 59",105,2126,52,2283,2020-12-12
"60 - 64",139,2316,107,2562,2020-12-12
"65 - 69",170,2271,204,2645,2020-12-12
"70 - 74",224,2735,453,3412,2020-12-12
"75 - 79",236,2635,766,3637,2020-12-12
"80 - 84",223,2173,959,3355,2020-12-12
"85 - 89",161,1372,740,2273,2020-12-12
">90",57,589,271,917,2020-12-12
