"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,594,3,638,2020-12-02
"20 - 24",5,179,0,184,2020-12-02
"25 - 29",10,329,1,340,2020-12-02
"30 - 34",12,421,3,436,2020-12-02
"35 - 39",26,493,7,526,2020-12-02
"40 - 44",28,651,3,682,2020-12-02
"45 - 49",58,1047,16,1121,2020-12-02
"50 - 54",84,1644,37,1765,2020-12-02
"55 - 59",123,1986,48,2157,2020-12-02
"60 - 64",110,2190,101,2401,2020-12-02
"65 - 69",150,2128,189,2467,2020-12-02
"70 - 74",187,2567,426,3180,2020-12-02
"75 - 79",221,2457,716,3394,2020-12-02
"80 - 84",174,2018,901,3093,2020-12-02
"85 - 89",124,1270,697,2091,2020-12-02
">90",55,531,251,837,2020-12-02
