"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
"2020-02-27",2,2,1,0,7,5,7,48,0,0,0,50,4,1,2,0,1
"2020-02-28",3,0,0,1,8,6,8,51,0,0,0,53,3,1,2,1,1
"2020-02-29",1,0,0,0,9,5,9,51,0,0,0,54,1,0,2,1,1
"2020-03-01",7,1,2,0,11,6,11,59,0,0,1,62,8,2,3,1,3
"2020-03-02",10,1,0,0,10,5,11,70,0,0,1,73,11,0,4,1,3
"2020-03-03",8,0,1,0,12,6,13,77,0,0,1,81,8,1,4,1,4
"2020-03-04",10,3,3,0,15,8,16,89,0,2,1,94,13,3,7,1,7
"2020-03-05",12,1,1,1,15,9,18,99,0,2,1,106,13,2,8,2,8
"2020-03-06",18,1,4,0,19,12,22,114,0,2,2,122,19,4,9,2,12
"2020-03-07",7,3,3,0,21,13,25,123,0,3,1,131,10,3,12,2,15
"2020-03-08",17,5,6,0,27,17,31,141,2,3,1,151,22,6,17,2,21
"2020-03-09",26,5,5,2,32,19,39,165,2,3,2,180,31,7,22,4,26
"2020-03-10",28,4,9,1,39,20,49,188,2,3,2,209,32,10,26,5,35
"2020-03-11",43,6,9,0,48,22,59,225,4,3,2,253,49,9,32,5,44
"2020-03-12",55,4,23,0,68,28,82,270,5,3,2,306,59,23,36,5,67
"2020-03-13",73,6,13,0,79,31,96,337,5,4,2,382,79,13,42,5,80
"2020-03-14",62,3,18,0,96,39,115,378,5,7,5,439,65,18,45,5,98
"2020-03-15",70,8,27,1,120,47,144,427,7,7,6,511,78,28,53,6,125
"2020-03-16",140,19,32,0,150,53,177,558,13,8,6,664,159,32,72,6,157
"2020-03-17",144,13,35,0,179,56,214,644,15,8,9,805,157,35,85,6,192
"2020-03-18",171,16,50,0,228,60,268,766,18,12,10,978,187,50,101,6,242
"2020-03-19",249,26,59,2,287,68,335,968,26,12,12,1240,275,61,127,8,301
"2020-03-20",238,27,82,1,362,70,422,1144,31,14,17,1488,265,83,154,9,383
"2020-03-21",199,13,72,3,430,70,504,1227,43,16,26,1674,212,75,167,12,455
"2020-03-22",236,19,72,1,480,70,578,1332,49,19,27,1902,255,73,186,13,527
"2020-03-23",443,24,98,3,573,71,681,1650,66,22,39,2331,467,101,210,16,625
"2020-03-24",420,25,107,1,653,73,794,1903,75,26,44,2741,445,108,235,17,732
"2020-03-25",432,24,114,2,752,74,913,2118,88,31,52,3154,456,116,259,19,846
"2020-03-26",433,34,104,4,838,74,1027,2313,106,41,54,3578,467,108,293,23,950
"2020-03-27",556,36,113,1,927,74,1147,2576,121,47,71,4116,592,114,329,24,1063
"2020-03-28",293,27,99,2,992,74,1252,2512,140,51,87,4392,320,101,356,26,1162
"2020-03-29",253,18,86,3,1038,74,1344,2467,165,62,98,4621,271,89,374,29,1248
"2020-03-30",437,29,126,3,1126,74,1476,2614,185,71,117,5024,466,129,403,32,1374
"2020-03-31",307,42,109,1,1191,74,1589,2544,219,89,125,5317,349,110,445,33,1483
"2020-04-01",312,42,72,3,1208,75,1663,2451,244,107,135,5626,354,75,487,36,1555
"2020-04-02",350,41,88,3,1249,75,1760,2432,266,121,148,5963,391,91,528,39,1643
"2020-04-03",330,56,76,0,1276,75,1839,2435,298,142,156,6309,386,76,584,39,1719
"2020-04-04",186,24,62,3,1280,74,1905,2225,317,156,173,6479,210,65,608,42,1781
"2020-04-05",225,21,72,3,1304,75,1983,2173,340,165,194,6677,246,75,629,45,1853
"2020-04-06",321,56,60,1,1312,75,2046,2292,358,189,207,7014,377,61,685,46,1913
"2020-04-07",204,54,55,2,1314,76,2106,2158,388,211,240,7236,258,57,739,48,1968
"2020-04-08",208,32,55,0,1281,76,2165,2022,405,236,252,7442,240,55,771,48,2023
"2020-04-09",187,38,50,1,1277,76,2217,1847,417,264,257,7631,225,51,809,49,2073
"2020-04-10",202,38,48,1,1284,75,2268,1756,445,293,264,7839,240,49,847,50,2121
