"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,17,11,17,61,0,0,0,64,4,1,2,0,1
2020-02-28,3,0,0,1,18,12,18,64,0,0,0,67,3,1,2,1,1
2020-02-29,1,0,0,0,19,12,19,64,0,0,0,68,1,0,2,1,1
2020-03-01,7,1,2,0,21,13,21,72,0,0,1,76,8,2,3,1,3
2020-03-02,10,1,0,0,20,12,21,83,0,0,1,87,11,0,4,1,3
2020-03-03,8,0,1,0,22,12,23,90,0,0,1,95,8,1,4,1,4
2020-03-04,10,3,3,0,25,14,26,102,0,2,1,108,13,3,7,1,7
2020-03-05,12,1,1,1,25,16,28,112,0,2,1,120,13,2,8,2,8
2020-03-06,18,1,4,0,29,19,32,127,0,2,2,136,19,4,9,2,12
2020-03-07,7,3,3,0,31,19,35,136,0,3,1,145,10,3,12,2,15
2020-03-08,18,4,6,0,37,23,41,154,2,3,1,165,22,6,16,2,21
2020-03-09,27,5,5,2,42,25,49,179,2,3,1,195,32,7,21,4,26
2020-03-10,28,4,9,1,50,26,59,202,2,3,2,224,32,10,25,5,35
2020-03-11,43,6,9,0,58,27,69,239,4,3,2,268,49,9,31,5,44
2020-03-12,54,4,23,0,78,33,92,283,5,3,2,320,58,23,35,5,67
2020-03-13,73,6,13,0,89,36,106,350,5,4,2,396,79,13,41,5,80
2020-03-14,61,3,19,0,107,45,126,390,5,7,5,452,64,19,44,5,99
2020-03-15,69,8,26,1,130,52,154,439,7,7,6,524,77,27,52,6,125
2020-03-16,140,19,33,0,161,58,188,570,12,8,6,677,159,33,71,6,158
2020-03-17,144,13,35,0,191,62,225,656,14,8,9,818,157,35,84,6,193
2020-03-18,171,15,51,0,241,66,280,779,17,12,10,990,186,51,99,6,244
2020-03-19,250,24,58,2,299,71,346,980,25,12,12,1251,274,60,123,8,302
2020-03-20,238,27,82,1,374,72,433,1157,30,14,17,1499,265,83,150,9,384
2020-03-21,199,13,72,3,443,72,515,1240,42,16,26,1685,212,75,163,12,456
2020-03-22,236,18,72,1,493,72,589,1345,48,19,27,1912,254,73,181,13,528
2020-03-23,444,24,98,3,586,72,692,1664,65,22,39,2342,468,101,205,16,626
2020-03-24,420,25,108,1,667,74,806,1916,75,26,44,2751,445,109,230,17,734
2020-03-25,433,22,114,2,765,74,925,2130,88,31,52,3163,455,116,252,19,848
2020-03-26,434,33,103,4,850,74,1038,2325,106,41,55,3587,467,107,285,23,951
2020-03-27,557,35,113,1,937,74,1158,2588,121,47,72,4125,592,114,320,24,1064
2020-03-28,293,25,98,2,1001,74,1262,2524,140,51,88,4398,318,100,345,26,1162
2020-03-29,253,18,87,2,1047,74,1354,2478,164,62,99,4626,271,89,363,28,1249
2020-03-30,436,29,126,3,1136,74,1486,2625,184,71,118,5027,465,129,392,31,1375
2020-03-31,308,40,109,1,1201,74,1599,2555,218,89,126,5319,348,110,432,32,1484
2020-04-01,313,38,72,3,1218,75,1673,2459,243,107,136,5625,351,75,470,35,1556
2020-04-02,350,38,90,3,1261,75,1772,2439,265,122,148,5959,388,93,508,38,1646
