"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-05-23",12,9,3,0,220,63,2865,308,822,1580,203,11193,21,3,2008,89
"2020-05-24",20,16,7,0,219,64,2872,302,823,1580,213,11219,36,7,2024,89
"2020-05-25",35,22,1,0,209,63,2873,336,824,1603,217,11271,57,1,2046,89
"2020-05-26",26,14,4,0,186,63,2877,327,828,1624,208,11307,40,4,2060,89
"2020-05-27",18,15,3,1,171,59,2881,298,829,1648,192,11335,33,4,2075,90
"2020-05-28",16,11,1,0,163,58,2882,274,831,1679,172,11357,27,1,2086,90
"2020-05-29",24,15,1,2,153,57,2885,274,834,1700,159,11390,39,3,2101,92
"2020-05-30",20,7,2,0,143,55,2887,253,834,1707,154,11415,27,2,2108,92
"2020-05-31",12,9,4,0,146,55,2891,247,834,1707,161,11435,21,4,2117,92
"2020-06-01",15,9,4,0,143,54,2895,253,837,1707,164,11454,24,4,2126,92
"2020-06-02",23,17,1,0,138,54,2896,271,837,1731,157,11490,40,1,2143,92
"2020-06-03",17,12,4,1,126,50,2901,262,842,1753,139,11511,29,5,2155,93
"2020-06-04",14,19,5,1,124,52,2907,248,845,1773,121,11536,33,6,2174,94
"2020-06-05",9,15,3,0,122,51,2910,232,845,1783,115,11556,24,3,2189,94
"2020-06-06",3,6,2,0,119,51,2912,191,846,1785,116,11564,9,2,2195,94
"2020-06-07",4,12,3,0,118,50,2915,188,846,1787,116,11578,16,3,2207,94
"2020-06-08",11,10,0,0,117,49,2916,190,846,1803,109,11598,21,0,2217,94
"2020-06-09",9,10,2,1,110,48,2919,168,847,1815,101,11615,19,3,2227,95
"2020-06-10",5,6,2,0,107,48,2921,148,848,1827,92,11624,11,2,2233,95
"2020-06-11",14,12,1,0,103,48,2922,155,848,1840,86,11646,26,1,2245,95
"2020-06-12",8,5,3,0,99,47,2925,149,849,1850,80,11658,13,3,2250,95
"2020-06-13",4,5,2,0,97,45,2927,127,850,1850,80,11665,9,2,2255,95
"2020-06-14",3,7,0,0,96,44,2927,126,852,1852,78,11675,10,0,2262,95
"2020-06-15",5,8,1,0,95,44,2928,132,853,1870,70,11687,13,1,2270,95
"2020-06-16",8,10,2,0,86,43,2930,133,856,1875,69,11704,18,2,2280,95
"2020-06-17",7,6,0,0,78,41,2930,125,857,1881,69,11715,13,0,2286,95
"2020-06-18",3,13,1,0,71,40,2931,124,858,1888,69,11730,16,1,2299,95
"2020-06-19",3,8,0,0,66,37,2932,119,859,1896,62,11740,11,0,2307,95
"2020-06-20",4,7,2,0,64,37,2934,102,860,1897,65,11748,11,2,2314,95
"2020-06-21",4,10,0,0,60,35,2934,104,861,1897,65,11761,14,0,2324,95
"2020-06-22",7,9,3,0,62,37,2937,109,862,1902,67,11776,16,3,2333,95
"2020-06-23",6,9,1,0,55,34,2938,108,863,1908,65,11786,15,1,2342,95
"2020-06-24",4,12,1,1,52,34,2940,105,864,1914,61,11801,16,2,2354,96
"2020-06-25",8,10,1,1,51,32,2942,112,864,1919,60,11818,18,2,2364,97
"2020-06-26",3,7,0,2,49,31,2944,107,865,1923,60,11825,10,2,2371,99
"2020-06-27",1,3,0,0,44,29,2944,85,866,1923,64,11829,4,0,2374,99
"2020-06-28",4,7,0,0,39,28,2944,89,866,1923,64,11840,11,0,2381,99
"2020-06-29",7,8,0,0,39,28,2944,100,866,1927,63,11853,15,0,2389,99
"2020-06-30",2,7,2,0,38,27,2946,85,866,1934,59,11860,9,2,2396,99
"2020-07-01",3,5,0,0,34,24,2946,80,866,1937,57,11868,8,0,2401,99
"2020-07-02",4,4,2,1,36,26,2949,74,867,1941,56,11873,8,3,2405,100
"2020-07-03",7,5,0,0,32,25,2949,75,867,1949,48,11883,12,0,2410,100
"2020-07-04",0,3,1,0,33,25,2950,64,867,1949,50,11885,3,1,2413,100
"2020-07-05",2,9,0,0,31,23,2950,69,867,1950,50,11894,11,0,2422,100
"2020-07-06",2,6,0,0,30,22,2950,74,868,1955,47,11902,8,0,2428,100
"2020-07-07",3,5,1,0,28,20,2951,75,869,1960,44,11909,8,1,2433,100
"2020-07-08",3,7,2,0,25,20,2953,75,869,1965,40,11918,10,2,2440,100
"2020-07-09",6,10,1,0,25,19,2954,80,869,1968,37,11931,16,1,2450,100
"2020-07-10",6,8,1,0,26,19,2955,90,869,1968,39,11943,14,1,2458,100
"2020-07-11",2,2,0,0,24,17,2955,79,869,1968,39,11946,4,0,2460,100
"2020-07-12",3,4,1,0,25,17,2956,79,870,1970,38,11950,7,1,2464,100
"2020-07-13",4,5,0,0,23,17,2956,86,871,1971,39,11959,9,0,2469,100
"2020-07-14",5,7,0,0,20,16,2956,84,871,1972,39,11970,12,0,2476,100
"2020-07-15",2,4,1,0,20,16,2957,75,871,1975,38,11975,6,1,2480,100
"2020-07-16",2,9,1,0,19,16,2958,72,871,1979,34,11985,11,1,2489,100
"2020-07-17",6,3,0,0,19,15,2958,70,871,1979,35,11993,9,0,2492,100
"2020-07-18",5,8,0,0,18,14,2958,73,871,1979,35,12006,13,0,2500,100
"2020-07-19",7,4,1,0,19,14,2959,79,871,1979,36,12017,11,1,2504,100
"2020-07-20",4,6,0,1,19,15,2960,84,871,1984,32,12026,10,1,2510,101
"2020-07-21",6,7,2,3,23,17,2963,84,871,1986,33,12037,13,5,2517,104
"2020-07-22",3,1,1,0,23,17,2964,71,872,1989,32,12040,4,1,2518,104
"2020-07-23",9,9,1,0,20,15,2965,78,872,1990,32,12056,18,1,2527,104
"2020-07-24",10,4,1,1,20,16,2967,78,872,1995,31,12069,14,2,2531,105
"2020-07-25",9,4,1,0,17,14,2968,78,872,1996,32,12081,13,1,2535,105
"2020-07-26",3,2,1,0,17,14,2970,79,872,1996,32,12084,5,1,2537,105
"2020-07-27",4,6,4,0,21,17,2974,86,872,1997,32,12093,10,4,2543,105
"2020-07-28",9,5,0,0,20,16,2974,90,872,1998,31,12107,14,0,2548,105
"2020-07-29",4,1,0,0,19,15,2974,83,873,1999,31,12111,5,0,2549,105
"2020-07-30",15,3,3,0,21,16,2977,87,873,2001,29,12128,18,3,2552,105
"2020-07-31",10,1,4,0,24,18,2981,88,875,2001,27,12137,11,4,2553,105
"2020-08-01",6,4,2,0,25,18,2983,88,875,2002,27,12146,10,2,2557,105
"2020-08-02",9,3,2,0,26,19,2985,94,875,2002,27,12157,12,2,2560,105
"2020-08-03",15,5,3,0,29,20,2988,107,875,2002,28,12176,20,3,2565,105
"2020-08-04",8,8,3,0,31,22,2991,107,877,2003,28,12190,16,3,2573,105
"2020-08-05",7,4,2,0,30,21,2993,103,877,2006,25,12200,11,2,2577,105
"2020-08-06",9,4,2,1,33,24,2996,101,878,2007,24,12209,13,3,2581,106
"2020-08-07",13,2,1,0,33,23,2997,106,878,2008,25,12224,15,1,2583,106
"2020-08-08",15,6,1,3,35,24,3001,114,878,2008,26,12245,21,4,2589,109
"2020-08-09",14,7,5,2,41,28,3008,125,880,2009,29,12262,21,7,2596,111
"2020-08-10",15,8,4,1,41,29,3013,139,880,2010,31,12285,23,5,2604,112
"2020-08-11",25,7,3,2,43,29,3017,157,881,2012,32,12315,32,5,2611,114
"2020-08-12",16,4,4,0,43,27,3021,162,882,2013,38,12332,20,4,2615,114
"2020-08-13",18,7,4,0,38,27,3025,161,882,2014,38,12354,25,4,2622,114
"2020-08-14",11,6,6,0,43,29,3031,158,882,2015,41,12367,17,6,2628,114
"2020-08-15",14,7,1,1,41,29,3033,155,883,2015,43,12387,21,2,2635,115
"2020-08-16",15,8,4,1,43,30,3038,164,885,2016,41,12408,23,5,2643,116
"2020-08-17",17,11,7,2,51,32,3047,181,887,2019,43,12433,28,9,2654,118
"2020-08-18",9,5,2,0,45,32,3049,175,887,2023,42,12445,14,2,2659,118
"2020-08-19",15,5,3,0,44,30,3052,174,887,2029,40,12460,20,3,2664,118
"2020-08-20",22,5,5,0,45,34,3057,184,888,2032,37,12485,27,5,2669,118
"2020-08-21",17,11,6,0,48,33,3063,178,889,2035,37,12509,28,6,2680,118
"2020-08-22",10,4,0,0,44,31,3063,154,889,2035,39,12523,14,0,2684,118
"2020-08-23",13,2,5,0,47,34,3068,156,889,2036,39,12535,15,5,2686,118
"2020-08-24",10,6,1,0,47,35,3070,160,890,2037,45,12549,16,1,2692,118
"2020-08-25",18,7,3,0,42,30,3073,169,890,2039,45,12571,25,3,2699,118
"2020-08-26",11,8,0,0,40,30,3073,159,890,2044,43,12590,19,0,2707,118
"2020-08-27",6,4,2,1,40,29,3075,143,890,2047,44,12599,10,3,2711,119
"2020-08-28",11,4,0,1,38,30,3077,146,891,2052,40,12612,15,1,2715,120
"2020-08-29",2,5,2,0,38,29,3080,128,891,2053,40,12618,7,2,2720,120
"2020-08-30",8,4,3,0,42,30,3083,127,892,2053,41,12630,12,3,2724,120
"2020-08-31",12,10,1,1,42,29,3085,143,894,2056,41,12651,22,2,2734,121
"2020-09-01",12,5,2,0,38,29,3087,145,895,2058,41,12666,17,2,2739,121
"2020-09-02",15,14,0,1,36,28,3088,155,895,2061,40,12694,29,1,2753,122
"2020-09-03",7,5,5,0,39,26,3093,142,895,2064,37,12703,12,5,2758,122
"2020-09-04",13,7,4,0,43,28,3097,146,896,2065,40,12722,20,4,2765,122
"2020-09-05",12,3,1,0,39,28,3098,137,896,2067,40,12737,15,1,2768,122
"2020-09-06",19,10,4,1,43,31,3103,157,896,2067,42,12761,29,5,2778,123
"2020-09-07",24,8,2,1,43,30,3106,176,896,2067,43,12790,32,3,2786,124
"2020-09-08",19,10,3,1,46,29,3111,192,897,2068,46,12817,29,4,2796,125
"2020-09-09",25,13,2,0,45,28,3114,209,898,2070,45,12854,38,2,2809,125
"2020-09-10",13,7,5,0,48,29,3119,203,899,2072,44,12870,20,5,2816,125
"2020-09-11",36,8,6,0,52,31,3125,216,899,2073,45,12907,44,6,2824,125
"2020-09-12",18,6,6,1,57,33,3132,215,899,2074,46,12929,24,7,2830,126
"2020-09-13",19,8,3,0,58,33,3135,226,899,2074,47,12954,27,3,2838,126
"2020-09-14",36,16,7,1,67,36,3145,263,900,2077,47,13004,52,8,2854,127
"2020-09-15",31,14,5,3,72,38,3154,281,901,2080,49,13046,45,8,2868,130
"2020-09-16",37,32,1,0,67,39,3155,317,902,2084,49,13113,69,1,2900,130
"2020-09-17",24,36,3,3,68,40,3161,341,902,2087,50,13172,60,6,2936,133
"2020-09-18",5,14,3,0,67,41,3164,329,902,2088,49,13189,19,3,2950,133
