"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,4,7,40,0,0,0,4,1,2,0
"2020-02-28",3,0,0,1,8,5,8,43,0,0,0,3,1,2,1
"2020-02-29",1,0,0,0,9,4,9,43,0,0,0,1,0,2,1
"2020-03-01",6,1,2,0,11,5,11,50,0,0,1,7,2,3,1
"2020-03-02",9,1,0,0,10,5,11,60,0,0,1,10,0,4,1
"2020-03-03",6,0,1,0,12,6,13,65,0,0,1,6,1,4,1
"2020-03-04",8,2,3,0,15,8,16,74,0,2,1,10,3,6,1
"2020-03-05",10,0,1,1,15,8,18,82,0,2,1,10,2,6,2
"2020-03-06",13,1,4,0,19,11,22,95,0,2,2,14,4,7,2
"2020-03-07",6,3,3,0,21,12,25,104,0,3,1,9,3,10,2
"2020-03-08",14,5,6,0,27,16,31,121,2,3,1,19,6,15,2
"2020-03-09",19,5,5,1,31,18,38,142,2,3,2,24,6,20,3
"2020-03-10",22,5,9,0,37,19,47,163,2,3,2,27,9,25,3
"2020-03-11",39,4,8,0,46,21,57,200,4,3,2,43,8,29,3
"2020-03-12",51,4,23,0,67,28,80,247,5,3,2,55,23,33,3
"2020-03-13",62,4,13,0,78,31,94,305,5,4,2,66,13,37,3
"2020-03-14",51,3,17,0,94,39,112,344,6,6,5,54,17,40,3
"2020-03-15",60,8,27,0,118,47,140,388,10,6,8,68,27,48,3
"2020-03-16",124,19,32,0,146,53,173,507,15,7,9,143,32,67,3
"2020-03-17",125,13,34,0,175,56,209,590,17,7,12,138,34,80,3
"2020-03-18",154,16,50,0,224,60,263,712,22,10,13,170,50,96,3
"2020-03-19",210,26,57,1,281,68,327,888,29,10,15,236,58,122,4
"2020-03-20",199,25,82,0,356,70,414,1034,34,12,21,224,82,147,4
"2020-03-21",179,12,72,3,424,70,495,1110,47,14,28,191,75,159,7
"2020-03-22",212,17,71,1,477,70,569,1205,52,17,30,229,72,176,8
"2020-03-23",387,27,98,1,568,72,669,1498,69,19,42,414,99,203,9
"2020-03-24",387,24,107,0,648,73,781,1726,76,23,47,411,107,227,9
"2020-03-25",416,24,114,1,747,74,900,1933,88,27,57,440,115,251,10
"2020-03-26",415,34,104,1,832,74,1012,2139,110,37,59,449,105,285,11
"2020-03-27",521,34,112,1,919,74,1130,2379,124,43,74,555,113,319,12
"2020-03-28",282,25,99,2,986,74,1235,2314,141,47,90,307,101,344,14
"2020-03-29",233,20,88,1,1036,74,1328,2277,167,58,101,253,89,364,15
"2020-03-30",390,27,127,3,1125,74,1461,2421,186,67,120,417,130,391,18
"2020-03-31",287,39,107,0,1188,74,1571,2387,218,83,128,326,107,430,18
"2020-04-01",272,43,71,1,1205,75,1645,2287,238,101,137,315,72,473,19
"2020-04-02",309,42,88,2,1250,75,1743,2287,261,115,150,351,90,515,21
"2020-04-03",289,54,76,0,1278,75,1822,2283,294,137,158,343,76,569,21
"2020-04-04",173,23,62,2,1280,74,1887,2101,313,150,176,196,64,592,23
"2020-04-05",201,20,72,1,1301,75,1963,2063,335,160,196,221,73,612,24
"2020-04-06",285,59,60,0,1309,75,2025,2173,353,181,211,344,60,671,24
"2020-04-07",188,52,55,0,1311,75,2083,2050,386,202,242,240,55,723,24
"2020-04-08",187,32,56,0,1283,76,2143,1925,402,226,256,219,56,755,24
"2020-04-09",166,35,50,0,1279,75,2194,1757,413,254,261,201,50,790,24
"2020-04-10",191,38,48,0,1284,75,2243,1683,442,280,268,229,48,828,24
"2020-04-11",127,23,26,2,1250,75,2272,1505,457,299,288,150,28,851,26
"2020-04-12",119,36,34,1,1232,75,2307,1451,470,316,314,155,35,887,27
"2020-04-13",144,37,44,0,1219,76,2353,1455,492,331,341,181,44,924,27
"2020-04-14",143,37,33,2,1191,76,2389,1474,501,379,337,180,35,961,29
"2020-04-15",105,20,22,1,1166,76,2413,1392,519,430,336,125,23,981,30
"2020-04-16",101,24,28,0,1134,76,2442,1284,537,478,323,125,28,1005,30
"2020-04-17",131,26,25,0,1104,76,2468,1245,556,522,326,157,25,1031,30
"2020-04-18",72,18,18,0,1057,76,2486,1110,570,544,343,90,18,1049,30
"2020-04-19",76,15,18,0,1026,76,2505,1086,586,550,365,91,18,1064,30
"2020-04-20",98,30,25,1,1007,76,2532,1133,604,605,351,128,26,1094,31
"2020-04-21",103,34,20,0,972,76,2554,1104,625,655,351,137,20,1128,31
"2020-04-22",80,26,14,0,916,77,2569,1028,642,698,345,106,14,1154,31
"2020-04-23",86,43,16,0,876,77,2585,992,656,743,324,129,16,1197,31
"2020-04-24",75,31,17,1,859,76,2604,947,668,802,294,106,18,1228,32
"2020-04-25",36,26,13,0,829,76,2618,818,678,819,299,62,13,1254,32
"2020-04-26",35,27,13,0,806,76,2631,787,691,826,317,62,13,1281,32
"2020-04-27",55,25,14,1,783,76,2646,783,703,836,333,80,15,1306,33
"2020-04-28",83,33,14,1,761,76,2661,811,707,883,321,116,15,1339,34
"2020-04-29",54,25,11,0,733,76,2673,751,713,919,321,79,11,1364,34
"2020-04-30",55,25,18,0,708,76,2691,725,724,958,312,80,18,1389,34
"2020-05-01",49,16,9,0,673,76,2700,674,727,997,315,65,9,1405,34
"2020-05-02",26,15,9,0,633,76,2709,590,737,1012,315,41,9,1420,34
"2020-05-03",35,11,10,0,620,76,2720,576,742,1019,327,46,10,1431,34
"2020-05-04",56,22,11,1,610,76,2732,622,748,1058,324,78,12,1453,35
"2020-05-05",28,9,3,0,569,76,2735,542,754,1070,339,37,3,1462,35
"2020-05-06",50,21,5,0,542,73,2741,560,759,1106,331,71,5,1483,35
"2020-05-07",44,16,8,1,521,72,2751,535,767,1142,327,60,9,1499,36
"2020-05-08",52,24,7,0,489,72,2758,529,771,1176,316,76,7,1523,36
"2020-05-09",29,7,5,0,467,72,2763,475,777,1185,324,36,5,1530,36
"2020-05-10",22,19,4,1,450,72,2768,464,779,1188,333,41,5,1549,37
"2020-05-11",40,25,7,1,444,73,2776,494,786,1225,332,65,8,1574,38
"2020-05-12",23,29,2,1,403,71,2779,469,789,1266,310,52,3,1603,39
"2020-05-13",34,27,3,1,384,71,2783,447,793,1298,306,61,4,1630,40
"2020-05-14",22,22,8,2,361,71,2793,424,796,1326,294,44,10,1652,42
"2020-05-15",31,26,3,0,344,71,2797,410,802,1361,273,57,3,1678,42
"2020-05-16",16,6,7,1,329,70,2806,361,803,1371,273,22,8,1684,43
"2020-05-17",28,12,4,0,323,70,2811,376,803,1375,278,40,4,1696,43
"2020-05-18",36,22,4,0,317,70,2815,417,804,1407,281,58,4,1718,43
"2020-05-19",14,12,1,1,284,67,2817,390,806,1436,265,26,2,1730,44
"2020-05-20",28,17,2,0,273,66,2820,383,811,1464,253,45,2,1747,44
"2020-05-21",13,8,2,0,252,66,2822,345,815,1470,259,21,2,1755,44
"2020-05-22",27,19,4,0,241,66,2827,369,818,1503,242,46,4,1774,44
"2020-05-23",12,7,3,0,224,63,2830,329,819,1506,245,19,3,1781,44
"2020-05-24",18,13,7,0,223,63,2837,327,821,1506,255,31,7,1794,44
"2020-05-25",31,22,1,0,213,62,2838,358,822,1528,259,53,1,1816,44
"2020-05-26",24,15,4,0,190,62,2842,356,824,1546,253,39,4,1831,44
"2020-05-27",18,14,3,1,175,58,2846,331,825,1570,238,32,4,1845,45
"2020-05-28",14,12,1,0,167,57,2847,306,827,1599,220,26,1,1857,45
"2020-05-29",23,13,1,2,157,56,2850,307,830,1618,209,36,3,1870,47
"2020-05-30",20,5,2,0,147,54,2852,288,830,1624,205,25,2,1875,47
"2020-05-31",7,7,3,0,148,54,2855,279,830,1624,212,14,3,1882,47
"2020-06-01",12,7,4,0,145,53,2859,285,832,1624,215,19,4,1889,47
"2020-06-02",17,16,1,0,141,53,2860,304,832,1649,207,33,1,1905,47
"2020-06-03",16,9,4,1,129,50,2865,297,837,1669,192,25,5,1914,48
"2020-06-04",13,18,5,0,125,52,2870,291,839,1686,177,31,5,1932,48
"2020-06-05",9,10,3,0,123,51,2873,275,839,1696,169,19,3,1942,48
