"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,14,9,14,64,0,0,0,67,4,1,2,0,1
2020-02-28,3,0,0,1,15,10,15,67,0,0,0,70,3,1,2,1,1
2020-02-29,1,0,0,0,16,10,16,67,0,0,0,71,1,0,2,1,1
2020-03-01,7,1,2,0,18,11,18,75,0,0,1,79,8,2,3,1,3
2020-03-02,10,1,0,0,17,10,18,86,0,0,1,90,11,0,4,1,3
2020-03-03,8,0,1,0,19,10,20,93,0,0,1,98,8,1,4,1,4
2020-03-04,10,3,3,0,22,12,23,105,0,2,1,111,13,3,7,1,7
2020-03-05,12,1,1,1,22,14,25,115,0,2,1,123,13,2,8,2,8
2020-03-06,18,1,4,0,26,17,29,130,0,2,2,139,19,4,9,2,12
2020-03-07,7,3,3,0,28,17,32,139,0,3,1,148,10,3,12,2,15
2020-03-08,18,4,6,0,34,21,38,157,2,3,1,168,22,6,16,2,21
2020-03-09,27,5,5,2,39,23,46,182,2,3,1,198,32,7,21,4,26
2020-03-10,28,4,9,1,47,24,56,205,2,3,2,227,32,10,25,5,35
2020-03-11,43,5,9,0,55,25,66,241,4,3,2,270,48,9,30,5,44
2020-03-12,54,4,23,0,75,32,89,285,5,3,2,322,58,23,34,5,67
2020-03-13,74,4,13,0,86,35,103,351,5,4,2,397,78,13,38,5,80
2020-03-14,61,3,19,0,104,43,123,391,5,7,5,452,64,19,41,5,99
2020-03-15,69,8,26,1,127,50,151,440,7,7,6,524,77,27,49,6,125
2020-03-16,141,19,33,0,158,56,185,573,12,8,6,678,160,33,68,6,158
2020-03-17,144,12,35,0,188,60,222,658,14,8,9,818,156,35,80,6,193
2020-03-18,172,14,50,0,237,64,276,782,17,12,10,991,186,50,94,6,243
2020-03-19,252,24,59,2,296,70,343,985,25,12,12,1253,276,61,118,8,302
2020-03-20,238,25,82,1,371,71,430,1156,30,14,17,1495,263,83,143,9,384
2020-03-21,199,13,71,3,439,71,511,1241,42,16,27,1681,212,74,156,12,455
2020-03-22,236,18,72,1,488,71,585,1347,48,19,29,1908,254,73,174,13,527
2020-03-23,445,23,97,3,579,71,687,1667,65,22,41,2338,468,100,197,16,624
2020-03-24,423,25,109,1,661,73,802,1920,75,26,46,2748,448,110,222,17,733
2020-03-25,434,22,115,2,760,74,922,2134,88,31,54,3160,456,117,244,19,848
2020-03-26,435,32,104,4,846,74,1036,2329,106,41,57,3582,467,108,276,23,952
2020-03-27,557,34,112,1,932,74,1155,2590,121,47,74,4119,591,113,310,24,1064
2020-03-28,295,25,97,2,995,74,1258,2528,139,51,90,4393,320,99,335,26,1161
2020-03-29,253,18,87,2,1042,74,1350,2482,164,62,103,4620,271,89,353,28,1248
2020-03-30,436,29,126,3,1128,74,1482,2628,184,71,122,5020,465,129,382,31,1374
2020-03-31,308,40,109,1,1193,74,1595,2559,218,89,129,5313,348,110,422,32,1483
2020-04-01,313,37,72,3,1211,75,1669,2462,243,107,139,5618,350,75,459,35,1555
2020-04-02,350,37,90,3,1254,75,1768,2441,264,121,151,5951,387,93,496,38,1645
2020-04-03,334,52,76,0,1283,75,1847,2444,296,142,158,6297,386,76,548,38,1721
2020-04-04,187,24,62,3,1288,74,1913,2237,315,156,175,6467,211,65,572,41,1783
2020-04-05,226,20,72,3,1312,75,1991,2188,338,165,196,6665,246,75,592,44,1855
2020-04-06,324,51,60,1,1320,75,2054,2304,356,188,210,7000,375,61,643,45,1915
2020-04-07,202,51,56,2,1324,76,2116,2164,386,211,242,7216,253,58,694,47,1971
2020-04-08,208,32,54,0,1290,76,2174,2029,403,236,254,7422,240,54,726,47,2025
2020-04-09,187,35,50,1,1285,76,2226,1855,415,263,260,7609,222,51,761,48,2075
2020-04-10,204,38,47,1,1292,75,2276,1768,443,291,267,7820,242,48,799,49,2122
2020-04-11,132,20,27,2,1258,75,2306,1580,458,311,287,7951,152,29,819,51,2149
2020-04-12,135,32,34,1,1241,75,2342,1523,473,329,315,8102,167,35,851,52,2183
2020-04-13,167,31,43,1,1224,75,2387,1518,494,344,339,8269,198,44,882,53,2226
2020-04-14,163,33,33,2,1201,76,2423,1532,504,395,333,8439,196,35,915,55,2259
2020-04-15,118,16,23,1,1176,76,2448,1444,521,452,329,8555,134,24,931,56,2282
2020-04-16,115,22,28,2,1142,76,2478,1332,539,502,314,8670,137,30,953,58,2310
2020-04-17,137,25,25,1,1112,77,2504,1289,557,550,312,8808,162,26,978,59,2335
2020-04-18,78,14,19,0,1067,76,2523,1144,568,573,328,8881,92,19,992,59,2354
2020-04-19,82,15,19,1,1038,76,2543,1120,587,579,350,8961,97,20,1007,60,2373
2020-04-20,110,23,25,1,1019,76,2570,1161,606,635,334,9068,133,26,1030,61,2398
2020-04-21,116,25,21,0,983,76,2593,1114,627,687,333,9182,141,21,1055,61,2419
2020-04-22,90,22,14,0,926,77,2608,1032,643,733,328,9281,112,14,1077,61,2433
2020-04-23,95,36,16,0,884,77,2624,991,656,780,306,9396,131,16,1113,61,2449
2020-04-24,79,24,17,1,867,76,2643,937,665,842,275,9483,103,18,1137,62,2466
2020-04-25,44,22,13,0,836,76,2657,812,681,859,280,9541,66,13,1159,62,2479
2020-04-26,43,24,13,0,811,76,2670,783,690,868,295,9597,67,13,1183,62,2492
