"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,15,10,15,62,0,0,0,65,4,1,2,0,1
2020-02-28,3,0,0,1,16,11,16,65,0,0,0,68,3,1,2,1,1
2020-02-29,1,0,0,0,17,11,17,65,0,0,0,69,1,0,2,1,1
2020-03-01,7,1,2,0,19,12,19,73,0,0,1,77,8,2,3,1,3
2020-03-02,10,1,0,0,18,11,19,84,0,0,1,88,11,0,4,1,3
2020-03-03,8,0,1,0,20,11,21,91,0,0,1,96,8,1,4,1,4
2020-03-04,10,3,3,0,23,13,24,103,0,2,1,109,13,3,7,1,7
2020-03-05,12,1,1,1,23,15,26,113,0,2,1,121,13,2,8,2,8
2020-03-06,18,1,4,0,27,18,30,128,0,2,2,137,19,4,9,2,12
2020-03-07,7,3,3,0,29,18,33,137,0,3,1,146,10,3,12,2,15
2020-03-08,18,4,6,0,35,22,39,155,2,3,1,166,22,6,16,2,21
2020-03-09,27,5,5,2,40,24,47,180,2,3,1,196,32,7,21,4,26
2020-03-10,28,4,9,1,48,25,57,203,2,3,2,225,32,10,25,5,35
2020-03-11,43,5,9,0,56,26,67,239,4,3,2,268,48,9,30,5,44
2020-03-12,54,4,23,0,76,32,90,283,5,3,2,320,58,23,34,5,67
2020-03-13,73,4,13,0,87,35,104,348,5,4,2,394,77,13,38,5,80
2020-03-14,61,3,19,0,105,43,124,389,5,7,5,450,64,19,41,5,99
2020-03-15,69,8,26,1,128,50,152,438,7,7,6,522,77,27,49,6,125
2020-03-16,140,19,33,0,159,56,186,570,12,8,6,675,159,33,68,6,158
2020-03-17,144,12,35,0,189,60,223,655,14,8,9,815,156,35,80,6,193
2020-03-18,172,14,50,0,238,64,277,779,17,12,10,988,186,50,94,6,243
2020-03-19,252,24,59,2,297,70,344,982,25,12,12,1250,276,61,118,8,302
2020-03-20,238,25,82,1,372,71,431,1154,30,14,17,1493,263,83,143,9,384
2020-03-21,199,13,72,3,441,71,513,1239,42,16,27,1679,212,75,156,12,456
2020-03-22,236,18,72,1,490,71,587,1345,48,19,29,1906,254,73,174,13,528
2020-03-23,444,23,98,3,582,71,690,1664,65,22,41,2335,467,101,197,16,626
2020-03-24,422,25,108,1,663,73,804,1917,75,26,46,2745,447,109,222,17,734
2020-03-25,433,22,114,2,761,74,923,2130,88,31,54,3156,455,116,244,19,848
2020-03-26,435,32,104,4,847,74,1037,2325,106,41,57,3579,467,108,276,23,952
2020-03-27,557,34,112,1,933,74,1156,2587,121,47,74,4116,591,113,310,24,1064
2020-03-28,293,25,98,2,997,74,1260,2524,139,51,90,4389,318,100,335,26,1162
2020-03-29,253,18,87,2,1044,74,1352,2478,164,62,102,4616,271,89,353,28,1249
2020-03-30,436,29,126,3,1131,74,1484,2625,184,71,121,5017,465,129,382,31,1375
2020-03-31,308,40,109,1,1196,74,1597,2555,218,89,129,5309,348,110,422,32,1484
2020-04-01,313,37,72,3,1213,75,1671,2458,243,107,139,5614,350,75,459,35,1556
2020-04-02,350,37,90,3,1256,75,1770,2437,265,122,151,5947,387,93,496,38,1646
2020-04-03,334,52,76,0,1283,75,1849,2442,297,143,158,6293,386,76,548,38,1722
2020-04-04,187,24,62,3,1288,74,1915,2235,316,157,175,6463,211,65,572,41,1784
2020-04-05,226,20,73,3,1313,75,1994,2186,339,166,196,6661,246,76,592,44,1857
2020-04-06,324,51,60,1,1321,75,2057,2302,357,190,209,6996,375,61,643,45,1917
2020-04-07,202,51,56,2,1325,76,2119,2162,387,212,242,7212,253,58,694,47,1973
2020-04-08,208,32,54,0,1291,76,2177,2027,404,237,254,7418,240,54,726,47,2027
2020-04-09,187,35,50,1,1286,76,2229,1853,416,265,259,7605,222,51,761,48,2077
2020-04-10,204,38,47,1,1293,75,2279,1766,444,294,266,7816,242,48,799,49,2124
2020-04-11,132,20,26,2,1258,75,2308,1578,459,314,286,7947,152,28,819,51,2150
2020-04-12,135,32,34,1,1241,75,2344,1521,474,332,314,8098,167,35,851,52,2184
2020-04-13,167,31,43,1,1224,75,2389,1516,495,347,338,8265,198,44,882,53,2227
2020-04-14,163,33,33,2,1201,76,2425,1530,505,398,332,8435,196,35,915,55,2260
2020-04-15,118,16,23,1,1176,76,2450,1442,522,454,329,8551,134,24,931,56,2283
