"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,5,7,44,0,0,0,46,4,1,2,0
"2020-02-28",3,0,0,1,8,6,8,47,0,0,0,49,3,1,2,1
"2020-02-29",1,0,0,0,9,5,9,47,0,0,0,50,1,0,2,1
"2020-03-01",7,1,2,0,11,6,11,55,0,0,1,58,8,2,3,1
"2020-03-02",10,1,0,0,10,5,11,66,0,0,1,69,11,0,4,1
"2020-03-03",8,0,1,0,12,6,13,73,0,0,1,77,8,1,4,1
"2020-03-04",10,3,3,0,15,8,16,85,0,2,1,90,13,3,7,1
"2020-03-05",12,1,1,1,15,9,18,95,0,2,1,102,13,2,8,2
"2020-03-06",18,1,4,0,19,12,22,110,0,2,2,118,19,4,9,2
"2020-03-07",7,3,3,0,21,13,25,119,0,3,1,127,10,3,12,2
"2020-03-08",17,5,6,0,27,17,31,137,2,3,1,147,22,6,17,2
"2020-03-09",26,5,5,2,32,19,39,161,2,3,2,176,31,7,22,4
"2020-03-10",28,4,9,1,39,20,49,184,2,3,2,205,32,10,26,5
"2020-03-11",43,6,9,0,48,22,59,221,4,3,2,249,49,9,32,5
"2020-03-12",55,4,23,0,68,28,82,266,5,3,2,302,59,23,36,5
"2020-03-13",72,6,13,0,79,31,96,332,5,4,2,377,78,13,42,5
"2020-03-14",62,3,17,0,95,39,114,374,5,7,5,435,65,17,45,5
"2020-03-15",70,8,27,1,119,47,143,423,7,7,6,507,78,28,53,6
"2020-03-16",138,19,31,0,148,52,175,553,13,8,6,659,157,31,72,6
"2020-03-17",142,13,34,0,176,55,211,639,15,8,9,800,155,34,85,6
"2020-03-18",171,16,50,0,225,60,265,761,18,12,10,973,187,50,101,6
"2020-03-19",247,27,57,2,282,68,330,963,26,12,12,1234,274,59,128,8
"2020-03-20",236,27,82,1,357,70,417,1137,31,14,17,1481,263,83,155,9
"2020-03-21",198,13,72,3,425,70,499,1219,43,16,24,1666,211,75,168,12
"2020-03-22",235,19,70,1,475,69,571,1325,48,19,25,1895,254,71,187,13
"2020-03-23",440,24,97,3,568,71,673,1640,65,22,37,2323,464,100,211,16
"2020-03-24",419,26,106,1,647,73,784,1895,73,25,42,2734,445,107,237,17
"2020-03-25",432,25,114,2,747,74,903,2110,86,29,51,3148,457,116,262,19
"2020-03-26",431,34,104,4,833,74,1017,2304,104,39,53,3570,465,108,296,23
"2020-03-27",555,36,111,1,920,74,1135,2570,119,45,69,4110,591,112,332,24
"2020-03-28",293,27,100,2,987,73,1241,2507,137,49,85,4386,320,102,359,26
"2020-03-29",252,19,87,3,1035,74,1334,2460,162,60,96,4614,271,90,378,29
"2020-03-30",434,29,127,3,1124,74,1467,2605,181,69,115,5014,463,130,407,32
"2020-03-31",307,42,107,1,1188,74,1578,2536,215,87,123,5309,349,108,449,33
"2020-04-01",310,43,70,3,1203,75,1650,2445,240,105,132,5620,353,73,492,36
"2020-04-02",350,41,87,3,1245,75,1747,2426,262,119,145,5957,391,90,533,39
"2020-04-03",330,57,76,0,1273,74,1827,2431,294,140,154,6304,387,76,590,39
"2020-04-04",183,24,62,3,1276,74,1893,2217,313,153,172,6471,207,65,614,42
"2020-04-05",224,21,71,3,1299,75,1970,2164,336,162,193,6669,245,74,635,45
"2020-04-06",321,56,60,1,1307,75,2033,2285,354,186,206,7006,377,61,691,46
"2020-04-07",204,54,54,2,1308,75,2092,2151,384,208,237,7229,258,56,745,48
"2020-04-08",206,33,54,0,1276,75,2150,2017,401,233,248,7436,239,54,778,48
"2020-04-09",186,40,50,1,1273,75,2202,1843,413,261,253,7626,226,51,818,49
"2020-04-10",203,38,48,1,1280,75,2253,1754,441,290,260,7836,241,49,856,50
"2020-04-11",132,21,26,2,1245,75,2282,1565,456,310,281,7968,153,28,877,52
"2020-04-12",135,34,34,1,1226,75,2317,1507,471,328,309,8121,169,35,911,53
"2020-04-13",165,34,42,1,1209,75,2361,1500,491,343,334,8289,199,43,945,54
"2020-04-14",163,38,34,2,1187,76,2398,1520,501,394,327,8465,201,36,983,56
"2020-04-15",117,17,23,1,1163,76,2423,1429,518,450,323,8581,134,24,1000,57
"2020-04-16",114,23,28,3,1131,76,2454,1315,536,500,308,8697,137,31,1023,60
"2020-04-17",137,30,24,1,1100,76,2479,1274,554,547,308,8841,167,25,1053,61
"2020-04-18",78,16,19,0,1054,76,2498,1130,565,571,323,8916,94,19,1069,61
"2020-04-19",82,16,19,1,1024,76,2518,1103,584,577,345,8996,98,20,1085,62
"2020-04-20",109,25,25,1,1005,76,2545,1141,603,633,329,9104,134,26,1110,63
"2020-04-21",116,27,20,0,968,76,2567,1096,624,684,328,9221,143,20,1137,63
"2020-04-22",89,23,14,0,912,76,2582,1014,640,730,322,9320,112,14,1160,63
"2020-04-23",93,36,16,0,871,76,2598,970,653,776,301,9433,129,16,1196,63
"2020-04-24",78,27,16,1,853,75,2616,916,663,839,268,9523,105,17,1223,64
"2020-04-25",44,24,12,0,822,75,2629,792,677,856,273,9584,68,12,1247,64
"2020-04-26",43,27,13,0,798,75,2642,766,687,865,288,9643,70,13,1274,64
"2020-04-27",60,17,14,0,775,75,2656,751,698,874,305,9709,77,14,1291,64
"2020-04-28",90,30,14,1,754,76,2672,769,703,922,292,9809,120,15,1321,65
"2020-04-29",58,23,11,0,728,76,2685,713,709,957,294,9873,81,11,1344,65
"2020-04-30",62,25,17,2,704,76,2704,692,722,1000,279,9949,87,19,1369,67
"2020-05-01",51,11,9,0,669,76,2713,634,724,1041,281,10000,62,9,1380,67
"2020-05-02",27,14,9,2,631,76,2724,548,733,1056,281,10036,41,11,1394,69
"2020-05-03",36,10,10,0,617,76,2735,529,738,1063,295,10073,46,10,1404,69
"2020-05-04",58,25,11,2,608,76,2747,576,744,1105,290,10143,83,13,1429,71
"2020-05-05",28,9,3,0,566,76,2750,507,749,1119,304,10176,37,3,1438,71
"2020-05-06",60,17,5,0,539,72,2756,523,755,1157,295,10241,77,5,1455,71
"2020-05-07",46,14,8,1,516,71,2766,496,763,1196,289,10290,60,9,1469,72
"2020-05-08",53,27,7,1,485,71,2774,494,767,1232,276,10365,80,8,1496,73
"2020-05-09",29,7,5,0,463,71,2779,446,772,1241,284,10397,36,5,1503,73
"2020-05-10",25,17,4,1,445,71,2784,434,773,1244,293,10433,42,5,1520,74
"2020-05-11",44,23,7,1,439,72,2792,465,780,1282,290,10495,67,8,1543,75
"2020-05-12",25,31,2,0,398,71,2794,441,783,1324,268,10547,56,2,1574,75
"2020-05-13",37,30,3,1,380,71,2798,424,788,1359,266,10608,67,4,1604,76
"2020-05-14",24,19,8,1,355,71,2808,390,792,1386,253,10643,43,9,1623,77
"2020-05-15",31,23,3,1,339,71,2813,372,799,1419,234,10692,54,4,1646,78
"2020-05-16",18,7,7,1,323,69,2821,327,801,1428,234,10713,25,8,1653,79
"2020-05-17",30,12,4,0,317,69,2826,339,802,1432,238,10749,42,4,1665,79
"2020-05-18",37,24,4,0,311,69,2830,381,802,1463,241,10805,61,4,1689,79
"2020-05-19",17,13,1,1,279,67,2832,357,804,1495,221,10833,30,2,1702,80
"2020-05-20",31,17,2,0,269,66,2835,346,809,1526,206,10875,48,2,1719,80
"2020-05-21",14,7,2,0,248,66,2837,307,813,1532,212,10891,21,2,1726,80
"2020-05-22",32,21,4,0,237,66,2842,337,816,1564,197,10938,53,4,1747,80
