"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum"
2020-02-27,2,2,1,0,9,6,9,50,0,0,0,52,4,1,2,0,1
2020-02-28,3,0,0,1,10,7,10,53,0,0,0,55,3,1,2,1,1
2020-02-29,1,0,0,0,11,6,11,53,0,0,0,56,1,0,2,1,1
2020-03-01,7,1,2,0,13,7,13,61,0,0,1,64,8,2,3,1,3
2020-03-02,10,1,0,0,12,6,13,72,0,0,1,75,11,0,4,1,3
2020-03-03,8,0,1,0,14,6,15,79,0,0,1,83,8,1,4,1,4
2020-03-04,10,3,3,0,17,8,18,91,0,2,1,96,13,3,7,1,7
2020-03-05,12,1,1,1,17,10,20,101,0,2,1,108,13,2,8,2,8
2020-03-06,18,1,4,0,21,13,24,116,0,2,2,124,19,4,9,2,12
2020-03-07,7,3,3,0,23,14,27,125,0,3,1,133,10,3,12,2,15
2020-03-08,17,5,6,0,29,18,33,143,2,3,1,153,22,6,17,2,21
2020-03-09,26,5,5,2,34,20,41,167,2,3,1,182,31,7,22,4,26
2020-03-10,28,4,9,1,42,22,51,190,2,3,2,211,32,10,26,5,35
2020-03-11,43,6,9,0,50,23,61,227,4,3,2,255,49,9,32,5,44
2020-03-12,55,4,23,0,70,29,84,272,5,3,2,308,59,23,36,5,67
2020-03-13,73,6,13,0,81,32,98,339,5,4,2,384,79,13,42,5,80
2020-03-14,62,3,19,0,99,41,118,380,5,7,5,441,65,19,45,5,99
2020-03-15,69,8,27,1,123,49,147,428,7,7,6,512,77,28,53,6,126
2020-03-16,140,19,33,0,154,55,181,559,13,8,6,665,159,33,72,6,159
2020-03-17,144,13,35,0,183,58,218,645,15,8,9,806,157,35,85,6,194
2020-03-18,171,16,50,0,232,62,272,768,18,12,10,979,187,50,101,6,244
2020-03-19,250,25,58,2,290,69,338,970,26,12,12,1241,275,60,126,8,302
2020-03-20,238,27,82,1,365,70,425,1146,31,14,17,1489,265,83,153,9,384
2020-03-21,199,13,72,3,434,70,507,1229,43,16,26,1675,212,75,166,12,456
2020-03-22,236,19,72,1,484,70,581,1334,49,19,27,1903,255,73,185,13,528
2020-03-23,443,24,98,3,577,71,684,1652,66,22,39,2332,467,101,209,16,626
2020-03-24,420,25,108,1,658,73,798,1904,76,26,44,2741,445,109,234,17,734
2020-03-25,432,24,114,2,756,74,917,2120,89,31,52,3154,456,116,258,19,848
2020-03-26,434,34,104,4,842,74,1031,2316,107,41,55,3579,468,108,292,23,952
2020-03-27,556,36,113,1,929,74,1151,2579,122,47,72,4117,592,114,328,24,1065
2020-03-28,293,27,99,2,994,74,1256,2515,141,51,88,4393,320,101,355,26,1164
2020-03-29,253,18,87,3,1041,74,1349,2469,166,62,99,4621,271,90,373,29,1251
2020-03-30,437,29,126,3,1129,74,1481,2616,186,71,118,5024,466,129,402,32,1377
2020-03-31,307,42,109,1,1194,74,1594,2546,220,89,126,5317,349,110,444,33,1486
2020-04-01,312,42,72,3,1211,75,1668,2453,245,107,136,5626,354,75,486,36,1558
2020-04-02,350,41,88,3,1252,75,1765,2434,267,122,148,5963,391,91,527,39,1646
2020-04-03,330,56,76,0,1279,75,1844,2437,299,143,156,6309,386,76,583,39,1722
2020-04-04,186,24,62,3,1283,74,1910,2227,318,157,173,6479,210,65,607,42,1784
2020-04-05,225,21,73,3,1308,75,1989,2175,341,166,194,6677,246,76,628,45,1857
2020-04-06,321,56,60,1,1316,75,2052,2294,359,190,207,7014,377,61,684,46,1917
2020-04-07,203,54,55,2,1318,76,2112,2159,389,212,240,7235,257,57,738,48,1972
2020-04-08,208,32,55,0,1285,76,2171,2023,406,237,252,7441,240,55,770,48,2027
2020-04-09,187,38,49,1,1280,76,2222,1849,418,265,257,7631,225,50,808,49,2076
2020-04-10,203,38,48,1,1287,75,2273,1759,446,294,264,7840,241,49,846,50,2124
2020-04-11,132,20,26,2,1252,75,2302,1569,461,314,285,7971,152,28,866,52,2150
2020-04-12,135,33,34,1,1234,75,2338,1511,476,332,313,8123,168,35,899,53,2184
2020-04-13,166,33,43,1,1217,75,2383,1505,497,347,338,8290,199,44,932,54,2227
2020-04-14,163,36,34,2,1194,76,2420,1523,507,398,332,8464,199,36,968,56,2261
2020-04-15,117,17,23,1,1169,76,2445,1433,524,454,328,8580,134,24,985,57,2284
2020-04-16,115,23,28,2,1136,76,2475,1320,542,504,313,8696,138,30,1008,59,2312
2020-04-17,137,27,25,1,1106,77,2501,1276,560,551,313,8836,164,26,1035,60,2337
2020-04-18,78,14,19,0,1060,76,2520,1131,571,574,329,8909,92,19,1049,60,2356
2020-04-19,82,15,19,1,1031,76,2540,1105,590,580,351,8989,97,20,1064,61,2375
2020-04-20,109,24,25,1,1012,76,2567,1145,609,636,335,9096,133,26,1088,62,2400
2020-04-21,116,26,20,0,975,76,2589,1100,630,688,334,9212,142,20,1114,62,2420
2020-04-22,89,23,14,0,918,77,2604,1019,646,734,329,9311,112,14,1137,62,2434
2020-04-23,95,36,16,0,876,77,2620,977,659,781,307,9426,131,16,1173,62,2450
2020-04-24,78,26,17,1,859,76,2639,923,669,843,275,9514,104,18,1199,63,2467
2020-04-25,44,23,13,0,828,76,2653,797,683,860,280,9573,67,13,1222,63,2480
