"date","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul"
"2020-02-27",2,2,1,0,7,4,7,40,0,0,0,41,4,1,2,0
"2020-02-28",3,0,0,1,8,5,8,43,0,0,0,44,3,1,2,1
"2020-02-29",1,0,0,0,9,4,9,43,0,0,0,45,1,0,2,1
"2020-03-01",6,1,2,0,11,5,11,50,0,0,1,52,7,2,3,1
"2020-03-02",9,1,0,0,10,5,11,60,0,0,1,62,10,0,4,1
"2020-03-03",6,0,1,0,12,6,13,65,0,0,1,68,6,1,4,1
"2020-03-04",8,2,3,0,15,8,16,74,0,2,1,78,10,3,6,1
"2020-03-05",10,0,1,1,15,8,18,82,0,2,1,88,10,2,6,2
"2020-03-06",14,1,4,0,19,11,22,96,0,2,2,103,15,4,7,2
"2020-03-07",6,3,3,0,21,12,25,105,0,3,1,112,9,3,10,2
"2020-03-08",13,5,6,0,27,16,31,121,2,3,1,130,18,6,15,2
"2020-03-09",20,5,5,1,31,18,38,143,3,3,2,155,25,6,20,3
"2020-03-10",22,4,9,0,37,19,47,163,3,3,2,181,26,9,24,3
"2020-03-11",39,4,9,0,46,21,57,200,5,3,2,224,43,9,28,3
"2020-03-12",51,4,23,0,67,28,80,247,6,3,2,279,55,23,32,3
"2020-03-13",64,4,13,0,78,31,94,307,6,4,2,347,68,13,36,3
"2020-03-14",52,3,17,0,94,39,112,346,7,7,5,401,55,17,39,3
"2020-03-15",60,8,27,0,117,47,140,390,11,7,7,468,68,27,47,3
"2020-03-16",125,18,32,0,146,53,173,509,16,8,7,609,143,32,65,3
"2020-03-17",127,13,34,0,175,56,209,594,18,8,10,748,140,34,78,3
"2020-03-18",155,15,50,0,224,60,263,714,23,11,11,915,170,50,93,3
"2020-03-19",214,26,57,1,281,68,327,895,30,11,13,1152,240,58,119,4
"2020-03-20",203,25,82,0,356,70,414,1045,35,13,19,1373,228,82,144,4
"2020-03-21",184,12,72,3,424,70,495,1124,48,15,26,1551,196,75,156,7
"2020-03-22",219,17,71,1,477,69,569,1225,53,18,27,1767,236,72,173,8
