"Date_of_publication","Municipality_name","Municipal_health_service","cases.today.mun","cases.yesterday.mun","diff"
2021-03-18,"","GGD Groningen",1,3,-2
2021-03-18,"","GGD Haaglanden",4,5,-1
2021-03-18,"","GGD Hart voor Brabant",3,5,-2
2021-03-18,"","GGD Hollands-Noorden",0,1,-1
2021-03-18,"","GGD Regio Utrecht",1,4,-3
2021-03-18,"","GGD Rotterdam-Rijnmond",8,10,-2
2021-03-18,"","Veiligheids- en Gezondheidsregio Gelderland-Midden",0,1,-1
2021-03-18,"'s-Gravenhage","GGD Haaglanden",112,110,2
2021-03-18,"Albrandswaard","GGD Rotterdam-Rijnmond",9,10,-1
2021-03-18,"Alkmaar","GGD Hollands-Noorden",35,34,1
2021-03-18,"Almelo","GGD Regio Twente",13,14,-1
2021-03-18,"Amsterdam","GGD Amsterdam",193,192,1
2021-03-18,"Boxmeer","GGD Hart voor Brabant",5,4,1
2021-03-18,"Boxtel","GGD Hart voor Brabant",19,17,2
2021-03-18,"Bunschoten","GGD Regio Utrecht",15,16,-1
2021-03-18,"Diemen","GGD Amsterdam",7,6,1
2021-03-18,"Eemnes","GGD Regio Utrecht",5,4,1
2021-03-18,"Goeree-Overflakkee","GGD Rotterdam-Rijnmond",22,21,1
2021-03-18,"Haarlem","GGD Kennemerland",63,64,-1
2021-03-18,"Heeze-Leende","GGD Brabant-Zuidoost",6,5,1
2021-03-18,"Leidschendam-Voorburg","GGD Haaglanden",18,19,-1
2021-03-18,"Noordenveld","GGD Drenthe",12,13,-1
2021-03-18,"Smallingerland","GGD Fryslân",22,23,-1
2021-03-18,"Someren","GGD Brabant-Zuidoost",12,13,-1
2021-03-18,"Utrecht","GGD Regio Utrecht",128,126,2
2021-03-18,"Velsen","GGD Kennemerland",44,45,-1
2021-03-18,"Vijfheerenlanden","GGD Regio Utrecht",28,29,-1
2021-03-18,"Westerwolde","GGD Groningen",15,14,1
2021-03-18,"Woerden","GGD Regio Utrecht",38,37,1
2021-03-19,"","GGD Amsterdam",3,6,-3
2021-03-19,"","GGD Gelderland-Zuid",3,4,-1
2021-03-19,"","GGD Haaglanden",6,7,-1
2021-03-19,"","GGD Hart voor Brabant",6,16,-10
2021-03-19,"","GGD Hollands-Midden",4,6,-2
2021-03-19,"","GGD Hollands-Noorden",4,5,-1
2021-03-19,"","GGD Kennemerland",2,3,-1
2021-03-19,"","GGD Noord- en Oost-Gelderland",5,7,-2
2021-03-19,"","GGD Rotterdam-Rijnmond",15,21,-6
2021-03-19,"","GGD Zaanstreek/Waterland",4,5,-1
2021-03-19,"","GGD Zeeland",1,5,-4
2021-03-19,"","Veiligheids- en Gezondheidsregio Gelderland-Midden",1,3,-2
2021-03-19,"'s-Gravenhage","GGD Haaglanden",220,221,-1
2021-03-19,"'s-Hertogenbosch","GGD Hart voor Brabant",83,82,1
2021-03-19,"Almelo","GGD Regio Twente",16,17,-1
2021-03-19,"Amersfoort","GGD Regio Utrecht",63,65,-2
2021-03-19,"Amsterdam","GGD Amsterdam",387,389,-2
2021-03-19,"Bloemendaal","GGD Kennemerland",12,13,-1
2021-03-19,"Boxmeer","GGD Hart voor Brabant",13,12,1
2021-03-19,"Boxtel","GGD Hart voor Brabant",27,26,1
2021-03-19,"Brielle","GGD Rotterdam-Rijnmond",6,5,1
2021-03-19,"Doetinchem","GGD Noord- en Oost-Gelderland",35,33,2
2021-03-19,"Edam-Volendam","GGD Zaanstreek/Waterland",60,61,-1
2021-03-19,"Emmen","GGD Drenthe",42,43,-1
2021-03-19,"Grave","GGD Hart voor Brabant",10,12,-2
2021-03-19,"Haarlemmermeer","GGD Kennemerland",93,92,1
2021-03-19,"Hardenberg","GGD IJsselland",17,16,1
2021-03-19,"Harlingen","GGD Fryslân",2,3,-1
2021-03-19,"Heemskerk","GGD Kennemerland",29,30,-1
2021-03-19,"Hengelo (O.)","GGD Regio Twente",18,19,-1
2021-03-19,"Het Hogeland","GGD Groningen",8,7,1
2021-03-19,"Heusden","GGD Hart voor Brabant",33,31,2
2021-03-19,"Kaag en Braassem","GGD Hollands-Midden",19,18,1
2021-03-19,"Koggenland","GGD Hollands-Noorden",12,13,-1
2021-03-19,"Leeuwarden","GGD Fryslân",35,34,1
2021-03-19,"Leidschendam-Voorburg","GGD Haaglanden",36,37,-1
2021-03-19,"Medemblik","GGD Hollands-Noorden",25,24,1
2021-03-19,"Midden-Groningen","GGD Groningen",28,29,-1
2021-03-19,"Nijkerk","Veiligheids- en Gezondheidsregio Gelderland-Midden",18,19,-1
2021-03-19,"Noordwijk","GGD Hollands-Midden",36,35,1
2021-03-19,"Oisterwijk","GGD Hart voor Brabant",15,14,1
2021-03-19,"Overbetuwe","Veiligheids- en Gezondheidsregio Gelderland-Midden",6,7,-1
2021-03-19,"Renkum","Veiligheids- en Gezondheidsregio Gelderland-Midden",5,4,1
2021-03-19,"Rijssen-Holten","GGD Regio Twente",12,13,-1
2021-03-19,"Roerdalen","GGD Limburg-Noord",5,4,1
2021-03-19,"Rotterdam","GGD Rotterdam-Rijnmond",351,348,3
2021-03-19,"Sint-Michielsgestel","GGD Hart voor Brabant",12,11,1
2021-03-19,"Steenwijkerland","GGD IJsselland",8,9,-1
2021-03-19,"Tiel","GGD Gelderland-Zuid",30,31,-1
2021-03-19,"Utrechtse Heuvelrug","GGD Regio Utrecht",23,24,-1
2021-03-19,"Veendam","GGD Groningen",23,24,-1
2021-03-19,"Veenendaal","GGD Regio Utrecht",46,47,-1
2021-03-19,"Vlissingen","GGD Zeeland",18,14,4
2021-03-19,"Wageningen","Veiligheids- en Gezondheidsregio Gelderland-Midden",14,15,-1
2021-03-19,"Wijchen","GGD Gelderland-Zuid",9,10,-1
2021-03-19,"Woerden","GGD Regio Utrecht",38,39,-1
2021-03-19,"Zaanstad","GGD Zaanstreek/Waterland",109,108,1
2021-03-19,"Zoetermeer","GGD Haaglanden",66,68,-2
