"Leeftijd","Aanwezig","Datum","Type"
"40 - 44",34,"2020-11-10","Klinisch"
"45 - 49",52,"2020-11-10","Klinisch"
"50 - 54",80,"2020-11-10","Klinisch"
"55 - 59",129,"2020-11-10","Klinisch"
"60 - 64",153,"2020-11-10","Klinisch"
"65 - 69",192,"2020-11-10","Klinisch"
"70 - 74",223,"2020-11-10","Klinisch"
"75 - 79",290,"2020-11-10","Klinisch"
"80 - 84",263,"2020-11-10","Klinisch"
"85 - 89",167,"2020-11-10","Klinisch"
">90",72,"2020-11-10","Klinisch"
"<20",46,"2020-11-11","Klinisch"
"20 - 24",3,"2020-11-11","Klinisch"
"25 - 29",12,"2020-11-11","Klinisch"
"30 - 34",20,"2020-11-11","Klinisch"
"35 - 39",12,"2020-11-11","Klinisch"
"40 - 44",31,"2020-11-11","Klinisch"
"45 - 49",49,"2020-11-11","Klinisch"
"50 - 54",89,"2020-11-11","Klinisch"
"55 - 59",122,"2020-11-11","Klinisch"
"60 - 64",145,"2020-11-11","Klinisch"
"65 - 69",191,"2020-11-11","Klinisch"
"70 - 74",227,"2020-11-11","Klinisch"
"75 - 79",285,"2020-11-11","Klinisch"
"80 - 84",262,"2020-11-11","Klinisch"
"85 - 89",161,"2020-11-11","Klinisch"
">90",70,"2020-11-11","Klinisch"
"<20",42,"2020-11-12","Klinisch"
"20 - 24",2,"2020-11-12","Klinisch"
"25 - 29",12,"2020-11-12","Klinisch"
"30 - 34",18,"2020-11-12","Klinisch"
"35 - 39",16,"2020-11-12","Klinisch"
"40 - 44",34,"2020-11-12","Klinisch"
"45 - 49",45,"2020-11-12","Klinisch"
"50 - 54",81,"2020-11-12","Klinisch"
"55 - 59",127,"2020-11-12","Klinisch"
"60 - 64",154,"2020-11-12","Klinisch"
"65 - 69",201,"2020-11-12","Klinisch"
"70 - 74",231,"2020-11-12","Klinisch"
"75 - 79",274,"2020-11-12","Klinisch"
"80 - 84",255,"2020-11-12","Klinisch"
"85 - 89",159,"2020-11-12","Klinisch"
">90",66,"2020-11-12","Klinisch"
"<20",43,"2020-11-13","Klinisch"
"20 - 24",2,"2020-11-13","Klinisch"
"25 - 29",8,"2020-11-13","Klinisch"
"30 - 34",14,"2020-11-13","Klinisch"
"35 - 39",14,"2020-11-13","Klinisch"
"40 - 44",34,"2020-11-13","Klinisch"
"45 - 49",49,"2020-11-13","Klinisch"
"50 - 54",83,"2020-11-13","Klinisch"
"55 - 59",136,"2020-11-13","Klinisch"
"60 - 64",155,"2020-11-13","Klinisch"
"65 - 69",179,"2020-11-13","Klinisch"
"70 - 74",211,"2020-11-13","Klinisch"
"75 - 79",246,"2020-11-13","Klinisch"
"80 - 84",248,"2020-11-13","Klinisch"
"85 - 89",150,"2020-11-13","Klinisch"
">90",61,"2020-11-13","Klinisch"
"<20",39,"2020-11-14","Klinisch"
"20 - 24",4,"2020-11-14","Klinisch"
"25 - 29",10,"2020-11-14","Klinisch"
"30 - 34",17,"2020-11-14","Klinisch"
"35 - 39",15,"2020-11-14","Klinisch"
"40 - 44",36,"2020-11-14","Klinisch"
"45 - 49",46,"2020-11-14","Klinisch"
"50 - 54",89,"2020-11-14","Klinisch"
"55 - 59",134,"2020-11-14","Klinisch"
"60 - 64",156,"2020-11-14","Klinisch"
"65 - 69",176,"2020-11-14","Klinisch"
"70 - 74",219,"2020-11-14","Klinisch"
"75 - 79",234,"2020-11-14","Klinisch"
"80 - 84",258,"2020-11-14","Klinisch"
"85 - 89",146,"2020-11-14","Klinisch"
">90",58,"2020-11-14","Klinisch"
"<20",45,"2020-11-15","Klinisch"
"20 - 24",6,"2020-11-15","Klinisch"
"25 - 29",12,"2020-11-15","Klinisch"
"30 - 34",17,"2020-11-15","Klinisch"
