"Leeftijd","Aanwezig","Datum","Type"
"50 - 54",98,"2021-01-19","Klinisch"
"55 - 59",117,"2021-01-19","Klinisch"
"60 - 64",158,"2021-01-19","Klinisch"
"65 - 69",173,"2021-01-19","Klinisch"
"70 - 74",275,"2021-01-19","Klinisch"
"75 - 79",288,"2021-01-19","Klinisch"
"80 - 84",288,"2021-01-19","Klinisch"
"85 - 89",163,"2021-01-19","Klinisch"
">90",84,"2021-01-19","Klinisch"
"<20",23,"2021-01-20","Klinisch"
"20 - 24",7,"2021-01-20","Klinisch"
"25 - 29",12,"2021-01-20","Klinisch"
"30 - 34",15,"2021-01-20","Klinisch"
"35 - 39",18,"2021-01-20","Klinisch"
"40 - 44",30,"2021-01-20","Klinisch"
"45 - 49",47,"2021-01-20","Klinisch"
"50 - 54",89,"2021-01-20","Klinisch"
"55 - 59",124,"2021-01-20","Klinisch"
"60 - 64",154,"2021-01-20","Klinisch"
"65 - 69",175,"2021-01-20","Klinisch"
"70 - 74",272,"2021-01-20","Klinisch"
"75 - 79",279,"2021-01-20","Klinisch"
"80 - 84",275,"2021-01-20","Klinisch"
"85 - 89",162,"2021-01-20","Klinisch"
">90",82,"2021-01-20","Klinisch"
"<20",23,"2021-01-21","Klinisch"
"20 - 24",6,"2021-01-21","Klinisch"
"25 - 29",16,"2021-01-21","Klinisch"
"30 - 34",13,"2021-01-21","Klinisch"
"35 - 39",24,"2021-01-21","Klinisch"
"40 - 44",29,"2021-01-21","Klinisch"
"45 - 49",48,"2021-01-21","Klinisch"
"50 - 54",96,"2021-01-21","Klinisch"
"55 - 59",122,"2021-01-21","Klinisch"
"60 - 64",168,"2021-01-21","Klinisch"
"65 - 69",177,"2021-01-21","Klinisch"
"70 - 74",281,"2021-01-21","Klinisch"
"75 - 79",272,"2021-01-21","Klinisch"
"80 - 84",258,"2021-01-21","Klinisch"
"85 - 89",159,"2021-01-21","Klinisch"
">90",77,"2021-01-21","Klinisch"
"<20",25,"2021-01-22","Klinisch"
"20 - 24",8,"2021-01-22","Klinisch"
"25 - 29",17,"2021-01-22","Klinisch"
"30 - 34",18,"2021-01-22","Klinisch"
"35 - 39",25,"2021-01-22","Klinisch"
"40 - 44",29,"2021-01-22","Klinisch"
"45 - 49",48,"2021-01-22","Klinisch"
"50 - 54",99,"2021-01-22","Klinisch"
"55 - 59",133,"2021-01-22","Klinisch"
"60 - 64",159,"2021-01-22","Klinisch"
"65 - 69",190,"2021-01-22","Klinisch"
"70 - 74",277,"2021-01-22","Klinisch"
"75 - 79",268,"2021-01-22","Klinisch"
"80 - 84",257,"2021-01-22","Klinisch"
"85 - 89",158,"2021-01-22","Klinisch"
">90",73,"2021-01-22","Klinisch"
"<20",26,"2021-01-23","Klinisch"
"20 - 24",8,"2021-01-23","Klinisch"
"25 - 29",18,"2021-01-23","Klinisch"
"30 - 34",16,"2021-01-23","Klinisch"
"35 - 39",27,"2021-01-23","Klinisch"
"40 - 44",31,"2021-01-23","Klinisch"
"45 - 49",45,"2021-01-23","Klinisch"
"50 - 54",99,"2021-01-23","Klinisch"
"55 - 59",126,"2021-01-23","Klinisch"
"60 - 64",156,"2021-01-23","Klinisch"
"65 - 69",177,"2021-01-23","Klinisch"
"70 - 74",268,"2021-01-23","Klinisch"
"75 - 79",255,"2021-01-23","Klinisch"
"80 - 84",250,"2021-01-23","Klinisch"
"85 - 89",155,"2021-01-23","Klinisch"
">90",73,"2021-01-23","Klinisch"
"<20",21,"2021-01-24","Klinisch"
"20 - 24",6,"2021-01-24","Klinisch"
"25 - 29",15,"2021-01-24","Klinisch"
"30 - 34",14,"2021-01-24","Klinisch"
"35 - 39",25,"2021-01-24","Klinisch"
"40 - 44",34,"2021-01-24","Klinisch"
"45 - 49",52,"2021-01-24","Klinisch"
"50 - 54",96,"2021-01-24","Klinisch"
"55 - 59",132,"2021-01-24","Klinisch"
"60 - 64",163,"2021-01-24","Klinisch"
"65 - 69",167,"2021-01-24","Klinisch"
"70 - 74",255,"2021-01-24","Klinisch"
"75 - 79",248,"2021-01-24","Klinisch"
"80 - 84",255,"2021-01-24","Klinisch"
"85 - 89",159,"2021-01-24","Klinisch"
">90",75,"2021-01-24","Klinisch"
"<20",29,"2021-01-25","Klinisch"
"20 - 24",6,"2021-01-25","Klinisch"
"25 - 29",12,"2021-01-25","Klinisch"
"30 - 34",19,"2021-01-25","Klinisch"
"35 - 39",25,"2021-01-25","Klinisch"
"40 - 44",34,"2021-01-25","Klinisch"
"45 - 49",53,"2021-01-25","Klinisch"
"50 - 54",101,"2021-01-25","Klinisch"
"55 - 59",137,"2021-01-25","Klinisch"
"60 - 64",163,"2021-01-25","Klinisch"
"65 - 69",180,"2021-01-25","Klinisch"
"70 - 74",251,"2021-01-25","Klinisch"
"75 - 79",261,"2021-01-25","Klinisch"
"80 - 84",254,"2021-01-25","Klinisch"
"85 - 89",164,"2021-01-25","Klinisch"
">90",82,"2021-01-25","Klinisch"
"<20",29,"2021-01-26","Klinisch"
"20 - 24",5,"2021-01-26","Klinisch"
"25 - 29",15,"2021-01-26","Klinisch"
"30 - 34",22,"2021-01-26","Klinisch"
"35 - 39",24,"2021-01-26","Klinisch"
"40 - 44",29,"2021-01-26","Klinisch"
"45 - 49",48,"2021-01-26","Klinisch"
"50 - 54",93,"2021-01-26","Klinisch"
"55 - 59",127,"2021-01-26","Klinisch"
"60 - 64",170,"2021-01-26","Klinisch"
"65 - 69",183,"2021-01-26","Klinisch"
"70 - 74",277,"2021-01-26","Klinisch"
"75 - 79",256,"2021-01-26","Klinisch"
"80 - 84",262,"2021-01-26","Klinisch"
"85 - 89",163,"2021-01-26","Klinisch"
">90",84,"2021-01-26","Klinisch"
"<20",21,"2021-01-27","Klinisch"
"20 - 24",5,"2021-01-27","Klinisch"
"25 - 29",15,"2021-01-27","Klinisch"
"30 - 34",18,"2021-01-27","Klinisch"
"35 - 39",26,"2021-01-27","Klinisch"
"40 - 44",24,"2021-01-27","Klinisch"
"45 - 49",45,"2021-01-27","Klinisch"
"50 - 54",83,"2021-01-27","Klinisch"
"55 - 59",114,"2021-01-27","Klinisch"
"60 - 64",172,"2021-01-27","Klinisch"
"65 - 69",176,"2021-01-27","Klinisch"
"70 - 74",255,"2021-01-27","Klinisch"
"75 - 79",244,"2021-01-27","Klinisch"
"80 - 84",251,"2021-01-27","Klinisch"
"85 - 89",153,"2021-01-27","Klinisch"
">90",67,"2021-01-27","Klinisch"
"<20",25,"2021-01-28","Klinisch"
"20 - 24",7,"2021-01-28","Klinisch"
"25 - 29",14,"2021-01-28","Klinisch"
"30 - 34",13,"2021-01-28","Klinisch"
"35 - 39",25,"2021-01-28","Klinisch"
"40 - 44",22,"2021-01-28","Klinisch"
"45 - 49",43,"2021-01-28","Klinisch"
"50 - 54",81,"2021-01-28","Klinisch"
"55 - 59",105,"2021-01-28","Klinisch"
"60 - 64",165,"2021-01-28","Klinisch"
"65 - 69",178,"2021-01-28","Klinisch"
"70 - 74",247,"2021-01-28","Klinisch"
"75 - 79",245,"2021-01-28","Klinisch"
"80 - 84",240,"2021-01-28","Klinisch"
"85 - 89",161,"2021-01-28","Klinisch"
">90",64,"2021-01-28","Klinisch"
"<20",19,"2021-01-29","Klinisch"
"20 - 24",6,"2021-01-29","Klinisch"
"25 - 29",12,"2021-01-29","Klinisch"
"30 - 34",15,"2021-01-29","Klinisch"
"35 - 39",23,"2021-01-29","Klinisch"
"40 - 44",24,"2021-01-29","Klinisch"
"45 - 49",46,"2021-01-29","Klinisch"
"50 - 54",87,"2021-01-29","Klinisch"
"55 - 59",116,"2021-01-29","Klinisch"
"60 - 64",157,"2021-01-29","Klinisch"
"65 - 69",181,"2021-01-29","Klinisch"
"70 - 74",237,"2021-01-29","Klinisch"
"75 - 79",246,"2021-01-29","Klinisch"
"80 - 84",246,"2021-01-29","Klinisch"
"85 - 89",154,"2021-01-29","Klinisch"
">90",71,"2021-01-29","Klinisch"
"<20",21,"2021-01-30","Klinisch"
"20 - 24",6,"2021-01-30","Klinisch"
"25 - 29",9,"2021-01-30","Klinisch"
"30 - 34",10,"2021-01-30","Klinisch"
"35 - 39",21,"2021-01-30","Klinisch"
"40 - 44",29,"2021-01-30","Klinisch"
"45 - 49",49,"2021-01-30","Klinisch"
"50 - 54",86,"2021-01-30","Klinisch"
"55 - 59",111,"2021-01-30","Klinisch"
"60 - 64",163,"2021-01-30","Klinisch"
"65 - 69",173,"2021-01-30","Klinisch"
"70 - 74",238,"2021-01-30","Klinisch"
"75 - 79",262,"2021-01-30","Klinisch"
"80 - 84",241,"2021-01-30","Klinisch"
"85 - 89",153,"2021-01-30","Klinisch"
">90",63,"2021-01-30","Klinisch"
"<20",23,"2021-01-31","Klinisch"
"20 - 24",6,"2021-01-31","Klinisch"
"25 - 29",9,"2021-01-31","Klinisch"
"30 - 34",9,"2021-01-31","Klinisch"
"35 - 39",26,"2021-01-31","Klinisch"
"40 - 44",27,"2021-01-31","Klinisch"
"45 - 49",52,"2021-01-31","Klinisch"
"50 - 54",83,"2021-01-31","Klinisch"
"55 - 59",112,"2021-01-31","Klinisch"
"60 - 64",168,"2021-01-31","Klinisch"
"65 - 69",165,"2021-01-31","Klinisch"
"70 - 74",248,"2021-01-31","Klinisch"
"75 - 79",269,"2021-01-31","Klinisch"
"80 - 84",241,"2021-01-31","Klinisch"
"85 - 89",156,"2021-01-31","Klinisch"
">90",69,"2021-01-31","Klinisch"
"<20",22,"2021-02-01","Klinisch"
"20 - 24",6,"2021-02-01","Klinisch"
"25 - 29",13,"2021-02-01","Klinisch"
"30 - 34",11,"2021-02-01","Klinisch"
"35 - 39",29,"2021-02-01","Klinisch"
"40 - 44",29,"2021-02-01","Klinisch"
"45 - 49",51,"2021-02-01","Klinisch"
"50 - 54",92,"2021-02-01","Klinisch"
"55 - 59",111,"2021-02-01","Klinisch"
"60 - 64",171,"2021-02-01","Klinisch"
"65 - 69",168,"2021-02-01","Klinisch"
"70 - 74",248,"2021-02-01","Klinisch"
"75 - 79",270,"2021-02-01","Klinisch"
"80 - 84",255,"2021-02-01","Klinisch"
"85 - 89",163,"2021-02-01","Klinisch"
">90",80,"2021-02-01","Klinisch"
"<20",20,"2021-02-03","Klinisch"
"20 - 24",4,"2021-02-03","Klinisch"
"25 - 29",11,"2021-02-03","Klinisch"
"30 - 34",8,"2021-02-03","Klinisch"
"35 - 39",28,"2021-02-03","Klinisch"
"40 - 44",25,"2021-02-03","Klinisch"
"45 - 49",51,"2021-02-03","Klinisch"
"50 - 54",79,"2021-02-03","Klinisch"
"55 - 59",114,"2021-02-03","Klinisch"
"60 - 64",163,"2021-02-03","Klinisch"
"65 - 69",166,"2021-02-03","Klinisch"
"70 - 74",237,"2021-02-03","Klinisch"
"75 - 79",257,"2021-02-03","Klinisch"
"80 - 84",252,"2021-02-03","Klinisch"
"85 - 89",165,"2021-02-03","Klinisch"
">90",78,"2021-02-03","Klinisch"
"<20",21,"2021-02-04","Klinisch"
"20 - 24",4,"2021-02-04","Klinisch"
"25 - 29",11,"2021-02-04","Klinisch"
"30 - 34",16,"2021-02-04","Klinisch"
"35 - 39",28,"2021-02-04","Klinisch"
"40 - 44",24,"2021-02-04","Klinisch"
"45 - 49",47,"2021-02-04","Klinisch"
"50 - 54",90,"2021-02-04","Klinisch"
"55 - 59",117,"2021-02-04","Klinisch"
"60 - 64",147,"2021-02-04","Klinisch"
"65 - 69",155,"2021-02-04","Klinisch"
"70 - 74",219,"2021-02-04","Klinisch"
"75 - 79",252,"2021-02-04","Klinisch"
"80 - 84",248,"2021-02-04","Klinisch"
"85 - 89",152,"2021-02-04","Klinisch"
">90",77,"2021-02-04","Klinisch"
"<20",21,"2021-02-05","Klinisch"
"20 - 24",2,"2021-02-05","Klinisch"
"25 - 29",12,"2021-02-05","Klinisch"
"30 - 34",18,"2021-02-05","Klinisch"
"35 - 39",28,"2021-02-05","Klinisch"
"40 - 44",27,"2021-02-05","Klinisch"
"45 - 49",50,"2021-02-05","Klinisch"
"50 - 54",93,"2021-02-05","Klinisch"
"55 - 59",123,"2021-02-05","Klinisch"
"60 - 64",145,"2021-02-05","Klinisch"
"65 - 69",154,"2021-02-05","Klinisch"
"70 - 74",216,"2021-02-05","Klinisch"
"75 - 79",267,"2021-02-05","Klinisch"
"80 - 84",235,"2021-02-05","Klinisch"
"85 - 89",137,"2021-02-05","Klinisch"
">90",80,"2021-02-05","Klinisch"
"<20",20,"2021-02-06","Klinisch"
"20 - 24",3,"2021-02-06","Klinisch"
"25 - 29",13,"2021-02-06","Klinisch"
"30 - 34",17,"2021-02-06","Klinisch"
"35 - 39",29,"2021-02-06","Klinisch"
"40 - 44",20,"2021-02-06","Klinisch"
"45 - 49",47,"2021-02-06","Klinisch"
"50 - 54",91,"2021-02-06","Klinisch"
"55 - 59",122,"2021-02-06","Klinisch"
"60 - 64",150,"2021-02-06","Klinisch"
"65 - 69",148,"2021-02-06","Klinisch"
"70 - 74",203,"2021-02-06","Klinisch"
"75 - 79",260,"2021-02-06","Klinisch"
"80 - 84",215,"2021-02-06","Klinisch"
"85 - 89",136,"2021-02-06","Klinisch"
">90",77,"2021-02-06","Klinisch"
"<20",22,"2021-02-07","Klinisch"
"20 - 24",3,"2021-02-07","Klinisch"
"25 - 29",11,"2021-02-07","Klinisch"
"30 - 34",18,"2021-02-07","Klinisch"
"35 - 39",28,"2021-02-07","Klinisch"
"40 - 44",20,"2021-02-07","Klinisch"
"45 - 49",48,"2021-02-07","Klinisch"
"50 - 54",87,"2021-02-07","Klinisch"
"55 - 59",122,"2021-02-07","Klinisch"
"60 - 64",137,"2021-02-07","Klinisch"
"65 - 69",155,"2021-02-07","Klinisch"
"70 - 74",205,"2021-02-07","Klinisch"
"75 - 79",269,"2021-02-07","Klinisch"
"80 - 84",216,"2021-02-07","Klinisch"
"85 - 89",130,"2021-02-07","Klinisch"
">90",69,"2021-02-07","Klinisch"
"<20",25,"2021-02-08","Klinisch"
"20 - 24",4,"2021-02-08","Klinisch"
"25 - 29",11,"2021-02-08","Klinisch"
"30 - 34",21,"2021-02-08","Klinisch"
"35 - 39",28,"2021-02-08","Klinisch"
"40 - 44",23,"2021-02-08","Klinisch"
"45 - 49",50,"2021-02-08","Klinisch"
"50 - 54",83,"2021-02-08","Klinisch"
"55 - 59",124,"2021-02-08","Klinisch"
"60 - 64",138,"2021-02-08","Klinisch"
"65 - 69",156,"2021-02-08","Klinisch"
"70 - 74",216,"2021-02-08","Klinisch"
"75 - 79",278,"2021-02-08","Klinisch"
"80 - 84",228,"2021-02-08","Klinisch"
"85 - 89",139,"2021-02-08","Klinisch"
">90",75,"2021-02-08","Klinisch"
"<20",22,"2021-02-09","Klinisch"
"20 - 24",2,"2021-02-09","Klinisch"
"25 - 29",6,"2021-02-09","Klinisch"
"30 - 34",18,"2021-02-09","Klinisch"
"35 - 39",26,"2021-02-09","Klinisch"
"40 - 44",28,"2021-02-09","Klinisch"
"45 - 49",61,"2021-02-09","Klinisch"
"50 - 54",86,"2021-02-09","Klinisch"
"55 - 59",120,"2021-02-09","Klinisch"
"60 - 64",141,"2021-02-09","Klinisch"
"65 - 69",151,"2021-02-09","Klinisch"
"70 - 74",214,"2021-02-09","Klinisch"
"75 - 79",266,"2021-02-09","Klinisch"
"80 - 84",210,"2021-02-09","Klinisch"
"85 - 89",142,"2021-02-09","Klinisch"
">90",82,"2021-02-09","Klinisch"
"<20",20,"2021-02-10","Klinisch"
"20 - 24",3,"2021-02-10","Klinisch"
"25 - 29",10,"2021-02-10","Klinisch"
"30 - 34",18,"2021-02-10","Klinisch"
"35 - 39",21,"2021-02-10","Klinisch"
"40 - 44",34,"2021-02-10","Klinisch"
"45 - 49",60,"2021-02-10","Klinisch"
"50 - 54",84,"2021-02-10","Klinisch"
"55 - 59",116,"2021-02-10","Klinisch"
"60 - 64",154,"2021-02-10","Klinisch"
"65 - 69",145,"2021-02-10","Klinisch"
"70 - 74",217,"2021-02-10","Klinisch"
"75 - 79",257,"2021-02-10","Klinisch"
"80 - 84",210,"2021-02-10","Klinisch"
"85 - 89",142,"2021-02-10","Klinisch"
">90",80,"2021-02-10","Klinisch"
"<20",20,"2021-02-11","Klinisch"
"20 - 24",6,"2021-02-11","Klinisch"
"25 - 29",9,"2021-02-11","Klinisch"
"30 - 34",16,"2021-02-11","Klinisch"
"35 - 39",22,"2021-02-11","Klinisch"
"40 - 44",34,"2021-02-11","Klinisch"
"45 - 49",52,"2021-02-11","Klinisch"
"50 - 54",75,"2021-02-11","Klinisch"
"55 - 59",106,"2021-02-11","Klinisch"
"60 - 64",137,"2021-02-11","Klinisch"
"65 - 69",153,"2021-02-11","Klinisch"
"70 - 74",207,"2021-02-11","Klinisch"
"75 - 79",245,"2021-02-11","Klinisch"
"80 - 84",205,"2021-02-11","Klinisch"
"85 - 89",141,"2021-02-11","Klinisch"
">90",78,"2021-02-11","Klinisch"
"<20",18,"2021-02-12","Klinisch"
"20 - 24",7,"2021-02-12","Klinisch"
"25 - 29",8,"2021-02-12","Klinisch"
"30 - 34",19,"2021-02-12","Klinisch"
"35 - 39",17,"2021-02-12","Klinisch"
"40 - 44",35,"2021-02-12","Klinisch"
"45 - 49",45,"2021-02-12","Klinisch"
"50 - 54",80,"2021-02-12","Klinisch"
"55 - 59",101,"2021-02-12","Klinisch"
"60 - 64",142,"2021-02-12","Klinisch"
"65 - 69",150,"2021-02-12","Klinisch"
"70 - 74",206,"2021-02-12","Klinisch"
"75 - 79",239,"2021-02-12","Klinisch"
"80 - 84",200,"2021-02-12","Klinisch"
"85 - 89",133,"2021-02-12","Klinisch"
">90",68,"2021-02-12","Klinisch"
"<20",20,"2021-02-13","Klinisch"
"20 - 24",6,"2021-02-13","Klinisch"
"25 - 29",7,"2021-02-13","Klinisch"
"30 - 34",19,"2021-02-13","Klinisch"
"35 - 39",15,"2021-02-13","Klinisch"
"40 - 44",27,"2021-02-13","Klinisch"
"45 - 49",47,"2021-02-13","Klinisch"
"50 - 54",79,"2021-02-13","Klinisch"
"55 - 59",98,"2021-02-13","Klinisch"
"60 - 64",139,"2021-02-13","Klinisch"
"65 - 69",153,"2021-02-13","Klinisch"
"70 - 74",211,"2021-02-13","Klinisch"
"75 - 79",241,"2021-02-13","Klinisch"
"80 - 84",188,"2021-02-13","Klinisch"
"85 - 89",136,"2021-02-13","Klinisch"
">90",67,"2021-02-13","Klinisch"
"<20",23,"2021-02-14","Klinisch"
"20 - 24",7,"2021-02-14","Klinisch"
"25 - 29",9,"2021-02-14","Klinisch"
"30 - 34",20,"2021-02-14","Klinisch"
"35 - 39",17,"2021-02-14","Klinisch"
"40 - 44",29,"2021-02-14","Klinisch"
"45 - 49",54,"2021-02-14","Klinisch"
"50 - 54",86,"2021-02-14","Klinisch"
"55 - 59",106,"2021-02-14","Klinisch"
"60 - 64",125,"2021-02-14","Klinisch"
"65 - 69",155,"2021-02-14","Klinisch"
"70 - 74",220,"2021-02-14","Klinisch"
"75 - 79",236,"2021-02-14","Klinisch"
"80 - 84",197,"2021-02-14","Klinisch"
"85 - 89",137,"2021-02-14","Klinisch"
">90",68,"2021-02-14","Klinisch"
"<20",18,"2021-02-15","Klinisch"
"20 - 24",9,"2021-02-15","Klinisch"
"25 - 29",9,"2021-02-15","Klinisch"
"30 - 34",17,"2021-02-15","Klinisch"
"35 - 39",17,"2021-02-15","Klinisch"
"40 - 44",35,"2021-02-15","Klinisch"
"45 - 49",55,"2021-02-15","Klinisch"
"50 - 54",88,"2021-02-15","Klinisch"
"55 - 59",93,"2021-02-15","Klinisch"
"60 - 64",129,"2021-02-15","Klinisch"
"65 - 69",154,"2021-02-15","Klinisch"
"70 - 74",222,"2021-02-15","Klinisch"
"75 - 79",234,"2021-02-15","Klinisch"
"80 - 84",195,"2021-02-15","Klinisch"
"85 - 89",147,"2021-02-15","Klinisch"
">90",69,"2021-02-15","Klinisch"
"<20",21,"2021-02-16","Klinisch"
"20 - 24",11,"2021-02-16","Klinisch"
"25 - 29",12,"2021-02-16","Klinisch"
"30 - 34",16,"2021-02-16","Klinisch"
"35 - 39",17,"2021-02-16","Klinisch"
"40 - 44",34,"2021-02-16","Klinisch"
"45 - 49",56,"2021-02-16","Klinisch"
"50 - 54",89,"2021-02-16","Klinisch"
"55 - 59",98,"2021-02-16","Klinisch"
"60 - 64",143,"2021-02-16","Klinisch"
"65 - 69",140,"2021-02-16","Klinisch"
"70 - 74",229,"2021-02-16","Klinisch"
"75 - 79",247,"2021-02-16","Klinisch"
"80 - 84",203,"2021-02-16","Klinisch"
"85 - 89",138,"2021-02-16","Klinisch"
">90",65,"2021-02-16","Klinisch"
"<20",23,"2021-02-17","Klinisch"
"20 - 24",9,"2021-02-17","Klinisch"
"25 - 29",14,"2021-02-17","Klinisch"
"30 - 34",18,"2021-02-17","Klinisch"
"35 - 39",16,"2021-02-17","Klinisch"
"40 - 44",36,"2021-02-17","Klinisch"
"45 - 49",51,"2021-02-17","Klinisch"
"50 - 54",82,"2021-02-17","Klinisch"
"55 - 59",102,"2021-02-17","Klinisch"
"60 - 64",142,"2021-02-17","Klinisch"
"65 - 69",144,"2021-02-17","Klinisch"
"70 - 74",204,"2021-02-17","Klinisch"
"75 - 79",242,"2021-02-17","Klinisch"
"80 - 84",198,"2021-02-17","Klinisch"
"85 - 89",136,"2021-02-17","Klinisch"
">90",63,"2021-02-17","Klinisch"
"<20",23,"2021-02-18","Klinisch"
"20 - 24",6,"2021-02-18","Klinisch"
"25 - 29",12,"2021-02-18","Klinisch"
"30 - 34",19,"2021-02-18","Klinisch"
"35 - 39",20,"2021-02-18","Klinisch"
"40 - 44",35,"2021-02-18","Klinisch"
"45 - 49",49,"2021-02-18","Klinisch"
"50 - 54",91,"2021-02-18","Klinisch"
"55 - 59",101,"2021-02-18","Klinisch"
"60 - 64",134,"2021-02-18","Klinisch"
"65 - 69",134,"2021-02-18","Klinisch"
"70 - 74",212,"2021-02-18","Klinisch"
"75 - 79",244,"2021-02-18","Klinisch"
"80 - 84",205,"2021-02-18","Klinisch"
"85 - 89",135,"2021-02-18","Klinisch"
">90",61,"2021-02-18","Klinisch"
"<20",19,"2021-02-19","Klinisch"
"20 - 24",7,"2021-02-19","Klinisch"
"25 - 29",12,"2021-02-19","Klinisch"
"30 - 34",18,"2021-02-19","Klinisch"
"35 - 39",21,"2021-02-19","Klinisch"
"40 - 44",33,"2021-02-19","Klinisch"
"45 - 49",56,"2021-02-19","Klinisch"
"50 - 54",85,"2021-02-19","Klinisch"
"55 - 59",97,"2021-02-19","Klinisch"
"60 - 64",138,"2021-02-19","Klinisch"
"65 - 69",137,"2021-02-19","Klinisch"
"70 - 74",200,"2021-02-19","Klinisch"
"75 - 79",236,"2021-02-19","Klinisch"
"80 - 84",200,"2021-02-19","Klinisch"
"85 - 89",139,"2021-02-19","Klinisch"
">90",61,"2021-02-19","Klinisch"
"<20",14,"2021-02-20","Klinisch"
"20 - 24",6,"2021-02-20","Klinisch"
"25 - 29",9,"2021-02-20","Klinisch"
"30 - 34",20,"2021-02-20","Klinisch"
"35 - 39",18,"2021-02-20","Klinisch"
"40 - 44",25,"2021-02-20","Klinisch"
"45 - 49",56,"2021-02-20","Klinisch"
"50 - 54",83,"2021-02-20","Klinisch"
"55 - 59",97,"2021-02-20","Klinisch"
"60 - 64",124,"2021-02-20","Klinisch"
"65 - 69",136,"2021-02-20","Klinisch"
"70 - 74",204,"2021-02-20","Klinisch"
"75 - 79",221,"2021-02-20","Klinisch"
"80 - 84",206,"2021-02-20","Klinisch"
"85 - 89",135,"2021-02-20","Klinisch"
">90",54,"2021-02-20","Klinisch"
"<20",15,"2021-02-21","Klinisch"
"20 - 24",9,"2021-02-21","Klinisch"
"25 - 29",11,"2021-02-21","Klinisch"
"30 - 34",15,"2021-02-21","Klinisch"
"35 - 39",23,"2021-02-21","Klinisch"
"40 - 44",25,"2021-02-21","Klinisch"
"45 - 49",47,"2021-02-21","Klinisch"
"50 - 54",77,"2021-02-21","Klinisch"
"55 - 59",93,"2021-02-21","Klinisch"
"60 - 64",116,"2021-02-21","Klinisch"
"65 - 69",131,"2021-02-21","Klinisch"
"70 - 74",203,"2021-02-21","Klinisch"
"75 - 79",218,"2021-02-21","Klinisch"
"80 - 84",200,"2021-02-21","Klinisch"
"85 - 89",134,"2021-02-21","Klinisch"
">90",55,"2021-02-21","Klinisch"
"<20",26,"2021-02-22","Klinisch"
"20 - 24",10,"2021-02-22","Klinisch"
"25 - 29",12,"2021-02-22","Klinisch"
"30 - 34",18,"2021-02-22","Klinisch"
"35 - 39",20,"2021-02-22","Klinisch"
"40 - 44",25,"2021-02-22","Klinisch"
"45 - 49",53,"2021-02-22","Klinisch"
"50 - 54",80,"2021-02-22","Klinisch"
"55 - 59",97,"2021-02-22","Klinisch"
"60 - 64",116,"2021-02-22","Klinisch"
"65 - 69",126,"2021-02-22","Klinisch"
"70 - 74",210,"2021-02-22","Klinisch"
"75 - 79",222,"2021-02-22","Klinisch"
"80 - 84",203,"2021-02-22","Klinisch"
"85 - 89",138,"2021-02-22","Klinisch"
">90",55,"2021-02-22","Klinisch"
"<20",21,"2021-02-23","Klinisch"
"20 - 24",10,"2021-02-23","Klinisch"
"25 - 29",12,"2021-02-23","Klinisch"
"30 - 34",13,"2021-02-23","Klinisch"
"35 - 39",26,"2021-02-23","Klinisch"
"40 - 44",32,"2021-02-23","Klinisch"
"45 - 49",56,"2021-02-23","Klinisch"
"50 - 54",84,"2021-02-23","Klinisch"
"55 - 59",101,"2021-02-23","Klinisch"
"60 - 64",124,"2021-02-23","Klinisch"
"65 - 69",137,"2021-02-23","Klinisch"
"70 - 74",224,"2021-02-23","Klinisch"
"75 - 79",223,"2021-02-23","Klinisch"
"80 - 84",218,"2021-02-23","Klinisch"
"85 - 89",150,"2021-02-23","Klinisch"
">90",57,"2021-02-23","Klinisch"
"<20",3,"2020-04-21","IC"
"20 - 24",7,"2020-04-21","IC"
"25 - 29",2,"2020-04-21","IC"
"30 - 34",10,"2020-04-21","IC"
"35 - 39",13,"2020-04-21","IC"
"40 - 44",15,"2020-04-21","IC"
"45 - 49",49,"2020-04-21","IC"
"50 - 54",98,"2020-04-21","IC"
"55 - 59",128,"2020-04-21","IC"
"60 - 64",185,"2020-04-21","IC"
"65 - 69",188,"2020-04-21","IC"
"70 - 74",209,"2020-04-21","IC"
"75 - 79",84,"2020-04-21","IC"
"80 - 84",13,"2020-04-21","IC"
"85 - 89",0,"2020-04-21","IC"
">90",0,"2020-04-21","IC"
"<20",3,"2020-04-22","IC"
"20 - 24",6,"2020-04-22","IC"
"25 - 29",2,"2020-04-22","IC"
"30 - 34",10,"2020-04-22","IC"
"35 - 39",14,"2020-04-22","IC"
"40 - 44",13,"2020-04-22","IC"
"45 - 49",47,"2020-04-22","IC"
"50 - 54",89,"2020-04-22","IC"
"55 - 59",126,"2020-04-22","IC"
"60 - 64",172,"2020-04-22","IC"
"65 - 69",176,"2020-04-22","IC"
"70 - 74",197,"2020-04-22","IC"
"75 - 79",83,"2020-04-22","IC"
"80 - 84",14,"2020-04-22","IC"
"85 - 89",0,"2020-04-22","IC"
">90",0,"2020-04-22","IC"
"<20",3,"2020-04-23","IC"
"20 - 24",6,"2020-04-23","IC"
"25 - 29",1,"2020-04-23","IC"
"30 - 34",9,"2020-04-23","IC"
"35 - 39",13,"2020-04-23","IC"
"40 - 44",14,"2020-04-23","IC"
"45 - 49",42,"2020-04-23","IC"
"50 - 54",89,"2020-04-23","IC"
"55 - 59",125,"2020-04-23","IC"
"60 - 64",166,"2020-04-23","IC"
"65 - 69",169,"2020-04-23","IC"
"70 - 74",192,"2020-04-23","IC"
"75 - 79",76,"2020-04-23","IC"
