"Datum","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90","Totaal","Type"
"2021-01-11",0,0,0,-1,0,0,0,1,1,3,3,3,9,13,9,3,44,"Klinisch"
"2021-01-12",0,0,0,0,0,0,0,0,1,0,3,5,10,13,5,6,43,"Klinisch"
"2021-01-13",0,0,0,0,0,0,0,0,0,0,4,7,3,10,15,5,44,"Klinisch"
"2021-01-14",0,0,0,0,0,0,0,1,0,1,1,2,5,6,3,4,23,"Klinisch"
"2021-01-15",0,0,0,0,0,1,0,0,1,1,1,8,14,13,5,2,46,"Klinisch"
"2021-01-16",0,0,0,0,0,0,0,0,0,1,2,2,8,5,3,2,23,"Klinisch"
"2021-01-17",0,0,0,0,0,0,0,0,1,2,1,2,10,15,13,3,47,"Klinisch"
"2021-01-18",0,0,0,0,0,1,0,0,0,1,3,1,4,12,5,4,31,"Klinisch"
"2021-01-19",0,0,0,0,0,2,0,0,0,0,0,7,8,9,4,4,34,"Klinisch"
"2021-01-20",0,0,0,0,0,0,0,0,0,0,2,5,11,17,2,7,44,"Klinisch"
"2021-01-21",0,0,0,0,0,0,0,0,0,0,1,4,4,9,9,5,32,"Klinisch"
"2021-01-22",0,0,0,0,0,0,0,1,0,1,4,3,5,7,8,3,32,"Klinisch"
"2021-01-23",0,0,0,0,0,0,0,0,0,1,1,4,0,7,5,2,20,"Klinisch"
"2021-01-24",0,0,0,0,0,0,0,0,2,0,3,5,8,4,9,3,34,"Klinisch"
"2021-01-25",0,0,0,0,0,0,0,0,0,1,1,2,7,7,1,4,23,"Klinisch"
"2021-01-26",0,0,0,0,0,0,0,0,0,1,2,8,8,9,11,5,44,"Klinisch"
"2021-01-27",0,0,0,0,0,0,0,0,0,1,3,1,5,10,3,1,24,"Klinisch"
"2021-01-28",0,0,0,0,0,0,0,0,0,1,4,5,7,14,5,1,37,"Klinisch"
"2021-01-29",0,0,0,0,0,0,0,0,0,0,2,3,1,5,6,3,20,"Klinisch"
"2021-01-30",0,0,0,0,0,0,0,0,0,1,2,3,3,3,0,1,13,"Klinisch"
"2021-01-31",0,0,0,0,0,0,0,1,0,2,2,1,3,6,6,1,22,"Klinisch"
"2021-02-01",0,0,0,0,0,0,1,0,1,1,2,4,11,5,9,1,35,"Klinisch"
"2021-02-03",0,0,-1,0,-1,-1,0,-2,2,1,6,1,7,11,9,12,44,"Klinisch"
"2021-02-04",0,0,0,0,0,0,0,0,0,2,1,3,4,8,6,4,28,"Klinisch"
"2021-02-05",0,0,0,0,0,0,0,1,0,1,2,5,8,13,8,1,39,"Klinisch"
"2021-02-06",0,0,0,0,0,0,0,0,1,1,1,6,4,4,1,4,22,"Klinisch"
"2021-02-07",0,0,0,0,0,0,0,0,1,1,0,1,3,1,6,2,15,"Klinisch"
"2021-02-08",0,0,0,0,0,0,0,1,1,1,1,6,5,10,6,2,33,"Klinisch"
"2021-02-09",0,0,0,0,0,0,0,1,0,1,3,8,12,7,9,1,42,"Klinisch"
"2021-02-10",0,0,0,1,0,0,0,0,1,0,-1,2,8,4,5,2,22,"Klinisch"
"2021-02-11",0,0,0,0,0,0,0,0,0,2,2,5,6,7,7,5,34,"Klinisch"
"2021-02-12",0,0,0,0,0,0,0,1,1,0,0,2,2,5,6,5,22,"Klinisch"
"2021-02-13",0,0,0,0,0,0,0,0,1,0,1,2,2,2,6,1,15,"Klinisch"
