"week","year","cbs_deaths","covid_deaths"
6,2006,1658,0
7,2006,1478,0
8,2006,1525,0
9,2006,1434,0
10,2006,1500,0
11,2006,1476,0
12,2006,1513,0
13,2006,1592,0
14,2006,1458,0
15,2006,1412,0
16,2006,1428,0
17,2006,1360,0
18,2006,1391,0
19,2006,1446,0
20,2006,1371,0
21,2006,1411,0
22,2006,1341,0
23,2006,1387,0
24,2006,1500,0
25,2006,1480,0
26,2006,1417,0
27,2006,1287,0
28,2006,1409,0
29,2006,1413,0
30,2006,1476,0
31,2006,1303,0
32,2006,1244,0
33,2006,1384,0
34,2006,1337,0
35,2006,1359,0
36,2006,1392,0
37,2006,1301,0
38,2006,1334,0
39,2006,1326,0
40,2006,1348,0
41,2006,1335,0
42,2006,1391,0
43,2006,1440,0
44,2006,1332,0
45,2006,1418,0
46,2006,1461,0
47,2006,1488,0
48,2006,1327,0
49,2006,1422,0
50,2006,1395,0
51,2006,1495,0
52,2006,1514,0
1,2007,1576,0
2,2007,1537,0
3,2007,1416,0
4,2007,1459,0
5,2007,1545,0
6,2007,1554,0
7,2007,1556,0
8,2007,1667,0
9,2007,1615,0
10,2007,1549,0
11,2007,1536,0
12,2007,1514,0
13,2007,1445,0
14,2007,1437,0
15,2007,1428,0
16,2007,1373,0
17,2007,1405,0
18,2007,1403,0
19,2007,1341,0
20,2007,1328,0
21,2007,1484,0
22,2007,1332,0
23,2007,1307,0
24,2007,1346,0
25,2007,1385,0
26,2007,1309,0
27,2007,1185,0
28,2007,1373,0
29,2007,1743,0
30,2007,1422,0
31,2007,1285,0
32,2007,1369,0
33,2007,1314,0
34,2007,1316,0
35,2007,1297,0
36,2007,1288,0
37,2007,1348,0
38,2007,1291,0
39,2007,1366,0
40,2007,1364,0
41,2007,1356,0
42,2007,1437,0
43,2007,1391,0
44,2007,1464,0
45,2007,1506,0
46,2007,1499,0
47,2007,1481,0
48,2007,1417,0
49,2007,1525,0
50,2007,1466,0
51,2007,1465,0
52,2007,1556,0
1,2008,1686,0
2,2008,1705,0
3,2008,1624,0
4,2008,1583,0
5,2008,1610,0
6,2008,1518,0
7,2008,1532,0
8,2008,1509,0
