STATcube

"Deceased in Austria by calendar week (excl. abroad) from 2000 (Q)"
"Calendar week"
"Counting: Number of deaths"

Filters:
"Default Summation","Number of deaths"


"Calendar week",
"19. Calendar week 2001 (week from 7.5.2001 to 13.5.2001)",1402,,
"20. Calendar week 2001 (week from 14.5.2001 to 20.5.2001)",1361,,
"21. Calendar week 2001 (week from 21.5.2001 to 27.5.2001)",1312,,
"22. Calendar week 2001 (week from 28.5.2001 to 3.6.2001)",1354,,
"23. Calendar week 2001 (week from 4.6.2001 to 10.6.2001)",1291,,
"24. Calendar week 2001 (week from 11.6.2001 to 17.6.2001)",1335,,
"25. Calendar week 2001 (week from 18.6.2001 to 24.6.2001)",1351,,
"26. Calendar week 2001 (week from 25.6.2001 to 1.7.2001)",1413,,
"27. Calendar week 2001 (week from 2.7.2001 to 8.7.2001)",1349,,
"28. Calendar week 2001 (week from 9.7.2001 to 15.7.2001)",1365,,
"29. Calendar week 2001 (week from 16.7.2001 to 22.7.2001)",1338,,
"30. Calendar week 2001 (week from 23.7.2001 to 29.7.2001)",1293,,
"31. Calendar week 2001 (week from 30.7.2001 to 5.8.2001)",1472,,
"32. Calendar week 2001 (week from 6.8.2001 to 12.8.2001)",1327,,
"33. Calendar week 2001 (week from 13.8.2001 to 19.8.2001)",1448,,
"34. Calendar week 2001 (week from 20.8.2001 to 26.8.2001)",1409,,
"35. Calendar week 2001 (week from 27.8.2001 to 2.9.2001)",1294,,
"36. Calendar week 2001 (week from 3.9.2001 to 9.9.2001)",1253,,
"37. Calendar week 2001 (week from 10.9.2001 to 16.9.2001)",1306,,
"38. Calendar week 2001 (week from 17.9.2001 to 23.9.2001)",1304,,
"39. Calendar week 2001 (week from 24.9.2001 to 30.9.2001)",1399,,
"40. Calendar week 2001 (week from 1.10.2001 to 7.10.2001)",1406,,
"41. Calendar week 2001 (week from 8.10.2001 to 14.10.2001)",1399,,
"42. Calendar week 2001 (week from 15.10.2001 to 21.10.2001)",1454,,
"43. Calendar week 2001 (week from 22.10.2001 to 28.10.2001)",1362,,
"44. Calendar week 2001 (week from 29.10.2001 to 4.11.2001)",1406,,
"45. Calendar week 2001 (week from 5.11.2001 to 11.11.2001)",1439,,
"46. Calendar week 2001 (week from 12.11.2001 to 18.11.2001)",1513,,
"47. Calendar week 2001 (week from 19.11.2001 to 25.11.2001)",1500,,
"48. Calendar week 2001 (week from 26.11.2001 to 2.12.2001)",1484,,
"49. Calendar week 2001 (week from 3.12.2001 to 9.12.2001)",1495,,
"50. Calendar week 2001 (week from 10.12.2001 to 16.12.2001)",1570,,
"51. Calendar week 2001 (week from 17.12.2001 to 23.12.2001)",1638,,
"52. Calendar week 2001 (week from 24.12.2001 to 30.12.2001)",1617,,
"1. Calendar week 2002 (week from 31.12.2001 to 6.1.2002)",1632,,
"2. Calendar week 2002 (week from 7.1.2002 to 13.1.2002)",1551,,
"3. Calendar week 2002 (week from 14.1.2002 to 20.1.2002)",1523,,
"4. Calendar week 2002 (week from 21.1.2002 to 27.1.2002)",1639,,
"5. Calendar week 2002 (week from 28.1.2002 to 3.2.2002)",1572,,
"6. Calendar week 2002 (week from 4.2.2002 to 10.2.2002)",1543,,
"7. Calendar week 2002 (week from 11.2.2002 to 17.2.2002)",1555,,
"8. Calendar week 2002 (week from 18.2.2002 to 24.2.2002)",1605,,
"9. Calendar week 2002 (week from 25.2.2002 to 3.3.2002)",1465,,
"10. Calendar week 2002 (week from 4.3.2002 to 10.3.2002)",1565,,
"11. Calendar week 2002 (week from 11.3.2002 to 17.3.2002)",1581,,
"12. Calendar week 2002 (week from 18.3.2002 to 24.3.2002)",1482,,
"13. Calendar week 2002 (week from 25.3.2002 to 31.3.2002)",1399,,
"14. Calendar week 2002 (week from 1.4.2002 to 7.4.2002)",1527,,
"15. Calendar week 2002 (week from 8.4.2002 to 14.4.2002)",1531,,
"16. Calendar week 2002 (week from 15.4.2002 to 21.4.2002)",1447,,
"17. Calendar week 2002 (week from 22.4.2002 to 28.4.2002)",1390,,
"18. Calendar week 2002 (week from 29.4.2002 to 5.5.2002)",1433,,
"19. Calendar week 2002 (week from 6.5.2002 to 12.5.2002)",1439,,
"20. Calendar week 2002 (week from 13.5.2002 to 19.5.2002)",1415,,
"21. Calendar week 2002 (week from 20.5.2002 to 26.5.2002)",1379,,
"22. Calendar week 2002 (week from 27.5.2002 to 2.6.2002)",1352,,
"23. Calendar week 2002 (week from 3.6.2002 to 9.6.2002)",1357,,
"24. Calendar week 2002 (week from 10.6.2002 to 16.6.2002)",1418,,
"25. Calendar week 2002 (week from 17.6.2002 to 23.6.2002)",1664,,
"26. Calendar week 2002 (week from 24.6.2002 to 30.6.2002)",1469,,
"27. Calendar week 2002 (week from 1.7.2002 to 7.7.2002)",1395,,
"28. Calendar week 2002 (week from 8.7.2002 to 14.7.2002)",1364,,
"29. Calendar week 2002 (week from 15.7.2002 to 21.7.2002)",1320,,
"30. Calendar week 2002 (week from 22.7.2002 to 28.7.2002)",1346,,
"31. Calendar week 2002 (week from 29.7.2002 to 4.8.2002)",1360,,
"32. Calendar week 2002 (week from 5.8.2002 to 11.8.2002)",1339,,
"33. Calendar week 2002 (week from 12.8.2002 to 18.8.2002)",1346,,
"34. Calendar week 2002 (week from 19.8.2002 to 25.8.2002)",1300,,
"35. Calendar week 2002 (week from 26.8.2002 to 1.9.2002)",1396,,
"36. Calendar week 2002 (week from 2.9.2002 to 8.9.2002)",1311,,
"37. Calendar week 2002 (week from 9.9.2002 to 15.9.2002)",1291,,
"38. Calendar week 2002 (week from 16.9.2002 to 22.9.2002)",1350,,
"39. Calendar week 2002 (week from 23.9.2002 to 29.9.2002)",1396,,
"40. Calendar week 2002 (week from 30.9.2002 to 6.10.2002)",1456,,
"41. Calendar week 2002 (week from 7.10.2002 to 13.10.2002)",1420,,
"42. Calendar week 2002 (week from 14.10.2002 to 20.10.2002)",1409,,
"43. Calendar week 2002 (week from 21.10.2002 to 27.10.2002)",1462,,
"44. Calendar week 2002 (week from 28.10.2002 to 3.11.2002)",1410,,
"45. Calendar week 2002 (week from 4.11.2002 to 10.11.2002)",1512,,
"46. Calendar week 2002 (week from 11.11.2002 to 17.11.2002)",1498,,
"47. Calendar week 2002 (week from 18.11.2002 to 24.11.2002)",1458,,
"48. Calendar week 2002 (week from 25.11.2002 to 1.12.2002)",1442,,
"49. Calendar week 2002 (week from 2.12.2002 to 8.12.2002)",1525,,
"50. Calendar week 2002 (week from 9.12.2002 to 15.12.2002)",1588,,
"51. Calendar week 2002 (week from 16.12.2002 to 22.12.2002)",1614,,
"52. Calendar week 2002 (week from 23.12.2002 to 29.12.2002)",1604,,
"1. Calendar week 2003 (week from 30.12.2002 to 5.1.2003)",1661,,
"2. Calendar week 2003 (week from 6.1.2003 to 12.1.2003)",1611,,
"3. Calendar week 2003 (week from 13.1.2003 to 19.1.2003)",1619,,
"4. Calendar week 2003 (week from 20.1.2003 to 26.1.2003)",1618,,
"5. Calendar week 2003 (week from 27.1.2003 to 2.2.2003)",1625,,
"6. Calendar week 2003 (week from 3.2.2003 to 9.2.2003)",1594,,
"7. Calendar week 2003 (week from 10.2.2003 to 16.2.2003)",1688,,
"8. Calendar week 2003 (week from 17.2.2003 to 23.2.2003)",1843,,
"9. Calendar week 2003 (week from 24.2.2003 to 2.3.2003)",1881,,
"10. Calendar week 2003 (week from 3.3.2003 to 9.3.2003)",1904,,
"11. Calendar week 2003 (week from 10.3.2003 to 16.3.2003)",1766,,
"12. Calendar week 2003 (week from 17.3.2003 to 23.3.2003)",1654,,
"13. Calendar week 2003 (week from 24.3.2003 to 30.3.2003)",1597,,
