week,year,cbs_deaths,covid_deaths
28,2012,924,0
29,2012,932,0
30,2012,970,0
31,2012,923,0
32,2012,940,0
33,2012,898,0
34,2012,949,0
35,2012,939,0
36,2012,886,0
37,2012,974,0
38,2012,936,0
39,2012,949,0
40,2012,984,0
41,2012,1008,0
42,2012,982,0
43,2012,947,0
44,2012,973,0
45,2012,1005,0
46,2012,976,0
47,2012,972,0
48,2012,984,0
49,2012,1009,0
50,2012,1022,0
51,2012,1151,0
52,2012,1201,0
1,2013,1307,0
2,2013,1201,0
3,2013,1184,0
4,2013,1152,0
5,2013,1247,0
6,2013,1237,0
7,2013,1229,0
8,2013,1143,0
9,2013,1201,0
10,2013,1119,0
11,2013,1088,0
12,2013,1107,0
13,2013,1117,0
14,2013,1094,0
15,2013,1069,0
16,2013,1025,0
17,2013,1016,0
18,2013,991,0
19,2013,1034,0
20,2013,972,0
21,2013,961,0
22,2013,926,0
23,2013,947,0
24,2013,910,0
25,2013,919,0
26,2013,934,0
27,2013,959,0
28,2013,934,0
29,2013,889,0
30,2013,945,0
31,2013,901,0
32,2013,905,0
33,2013,874,0
34,2013,863,0
35,2013,852,0
36,2013,894,0
37,2013,928,0
38,2013,1005,0
39,2013,911,0
40,2013,937,0
41,2013,932,0
42,2013,887,0
43,2013,890,0
44,2013,973,0
45,2013,877,0
46,2013,1014,0
47,2013,928,0
48,2013,930,0
49,2013,967,0
50,2013,984,0
51,2013,1047,0
52,2013,993,0
1,2014,1025,0
2,2014,1017,0
3,2014,1050,0
4,2014,1015,0
5,2014,1055,0
6,2014,1053,0
7,2014,1114,0
8,2014,1020,0
9,2014,997,0
10,2014,993,0
11,2014,998,0
12,2014,1004,0
13,2014,989,0
14,2014,998,0
15,2014,1015,0
16,2014,997,0
17,2014,997,0
18,2014,972,0
19,2014,996,0
20,2014,940,0
21,2014,1026,0
22,2014,889,0
23,2014,933,0
24,2014,934,0
25,2014,904,0
26,2014,949,0
27,2014,919,0
28,2014,966,0
29,2014,958,0
30,2014,1015,0
31,2014,999,0
32,2014,981,0
33,2014,931,0
34,2014,947,0
35,2014,918,0
36,2014,1009,0
37,2014,961,0
38,2014,969,0
39,2014,893,0
40,2014,882,0
41,2014,902,0
42,2014,942,0
43,2014,932,0
44,2014,897,0
45,2014,960,0
46,2014,967,0
47,2014,969,0
48,2014,1011,0
49,2014,1099,0
50,2014,1073,0
51,2014,1071,0
52,2014,1089,0
1,2015,1127,0
2,2015,1108,0
3,2015,1093,0
4,2015,1068,0
5,2015,1086,0
6,2015,1118,0
7,2015,1106,0
8,2015,1131,0
9,2015,1177,0
10,2015,1210,0
11,2015,1184,0
12,2015,1086,0
13,2015,1093,0
14,2015,1044,0
15,2015,1081,0
16,2015,1052,0
17,2015,934,0
18,2015,996,0
19,2015,978,0
20,2015,921,0
21,2015,974,0
22,2015,977,0
23,2015,959,0
24,2015,1017,0
25,2015,913,0
26,2015,897,0
27,2015,942,0
28,2015,951,0
29,2015,917,0
30,2015,951,0
31,2015,947,0
32,2015,929,0
33,2015,953,0
34,2015,926,0
35,2015,901,0
36,2015,879,0
37,2015,913,0
38,2015,942,0
39,2015,963,0
40,2015,959,0
41,2015,927,0
42,2015,948,0
43,2015,997,0
44,2015,993,0
45,2015,971,0
46,2015,985,0
47,2015,986,0
48,2015,1083,0
49,2015,1105,0
50,2015,1033,0
51,2015,1024,0
52,2015,994,0
53,2015,986,0
1,2016,1103,0
2,2016,1065,0
3,2016,1046,0
4,2016,1124,0
5,2016,1083,0
6,2016,1040,0
7,2016,1062,0
8,2016,1124,0
9,2016,1143,0
10,2016,1149,0
11,2016,1159,0
12,2016,1074,0
13,2016,1084,0
14,2016,1023,0
15,2016,1071,0
16,2016,1010,0
17,2016,985,0
18,2016,1042,0
19,2016,1023,0
20,2016,935,0
21,2016,975,0
22,2016,953,0
23,2016,913,0
24,2016,920,0
25,2016,983,0
26,2016,897,0
27,2016,924,0
28,2016,898,0
29,2016,971,0
30,2016,962,0
31,2016,902,0
32,2016,956,0
33,2016,914,0
34,2016,971,0
35,2016,922,0
36,2016,955,0
37,2016,932,0
38,2016,904,0
39,2016,983,0
40,2016,910,0
41,2016,1022,0
42,2016,1040,0
43,2016,989,0
44,2016,1003,0
45,2016,1017,0
46,2016,1045,0
47,2016,1046,0
48,2016,1010,0
49,2016,1043,0
50,2016,1067,0
51,2016,1060,0
52,2016,1149,0
1,2017,1113,0
2,2017,1111,0
3,2017,1099,0
4,2017,1104,0
5,2017,1211,0
6,2017,1100,0
7,2017,1228,0
8,2017,1156,0
