"date","vaccines_administered_estimated_carehomes","vaccines_administered_ggd","vaccines_administered_hospital","vaccines_administered_estimated","vaccines_administered_doctors","vaccines_administered"
2021-04-27,908244,3285136,908244,5176010,982630,3285136
2021-04-28,918052,3357134,918052,5265860,990674,3357134
2021-04-29,927824,3429039,927824,5360802,1003939,3429039
