"date","vaccines_administered_estimated_carehomes","vaccines_administered_ggd","vaccines_administered_hospital","vaccines_administered_estimated","vaccines_administered_doctors","vaccines_administered"
2021-04-27,908244,3285136,908244,5176010,982630,3285136
2021-04-28,918052,3357134,918052,5265860,990674,3357134
2021-04-29,927824,3429039,927824,5360802,1003939,3429039
2021-04-30,937631,3498185,937631,5455349,1019533,3498185
2021-05-01,947412,3573168,947412,5557642,1037062,3573168
2021-05-02,957161,3641673,957161,5651041,1052207,3641673
2021-05-03,966893,3724767,966893,5757731,1066071,3724767
2021-05-04,972590,3806799,972590,5860446,1081057,3806799
2021-05-05,989443,3896411,989443,5980676,1094822,3896411
2021-05-06,1009672,3979256,1009672,6101271,1112343,3979256
2021-05-07,1033211,4066136,1033211,6224773,1125426,4066136
2021-05-08,1051314,4153046,1051314,6346699,1142339,4153046
2021-05-09,1068279,4237149,1068279,6462498,1157070,4237149
2021-05-10,1081345,4338718,1081345,6588757,1168694,4338718
2021-05-11,1093568,4440285,1093568,6722905,1189052,4440285
2021-05-12,1107641,4545918,1107641,6875100,1221541,4545918
2021-05-13,1121289,4651169,1121289,7022775,1250317,4651169
2021-05-14,1134564,4757475,1134564,7161926,1269887,4757475
2021-05-15,1147680,4865430,1147680,7309350,1296240,4865430
2021-05-16,1159909,4970072,1159909,7448904,1318923,4970072
2021-05-17,1172109,5088277,1172109,7600984,1340598,5088277
2021-05-18,1181237,5206856,1181237,7752844,1364751,5206856
2021-05-19,1186867,5326646,1186867,7899037,1385524,5326646
2021-05-20,1187869,5446646,1187869,8040730,1406215,5446646
2021-05-21,1191669,5567153,1191669,8181911,1423089,5567153
2021-05-22,1194484,5687618,1194484,8321476,1439374,5687618
2021-05-23,1197088,5805508,1197088,8457934,1455338,5805508
2021-05-24,1199662,5875492,1199662,8542731,1467577,5875492
2021-05-25,1202240,5965476,1202240,8643475,1475759,5965476
2021-05-26,1206267,6147610,1206267,8840874,1486997,6147610
2021-05-27,1209494,6261901,1209494,8971791,1500396,6261901
2021-05-28,1212874,6378878,1212874,9099559,1507807,6378878
2021-05-29,1216167,6495362,1216167,9231033,1519504,6495362
