"","week","mid","upr","lwr"
"1",11,1.78336751155158,3.74005554613548,-0.118796098831119
"2",12,1.8024155029852,2.81593626742966,0.837844316585829
"3",13,1.33940044897069,1.66890416665435,1.02696939637574
"4",14,1.21301969701793,1.38180872555049,1.05632146426521
"5",15,1.12545968165734,1.25416580044691,0.999416112550499
"6",16,1.0166621753124,1.18352887791676,0.832605840738023
"7",17,0.894647989101235,1.12791323016433,0.655057178347669
"8",18,0.678277584477032,1.11971670149949,0.269899383225212
"9",19,0.869466807719019,1.34281529977071,0.355156095591817
"10",20,0.495555243559043,1.35151491995724,-0.448558930151323
"11",21,0.903504851117152,1.89468650520912,-0.230413463954535
"12",22,1.00790122498659,2.2925864558446,-0.355512076357576
"13",23,0.758829096583177,2.42505145484505,-1.07197979932261
"14",24,1.71010851582776,3.84382052893161,-0.332945110079658
"15",25,2.23745084230994,4.63851982993164,-0.203105117507943
"16",26,3.20772134505935,5.98182853728779,0.553287264598221
"17",27,3.71450357419742,6.50541664191759,0.978257883875156
"18",28,4.43873240976228,7.37221670826754,1.57924800042452
"19",29,5.31993086297076,8.11750781240123,2.39595889485369
"20",30,6.04949718394111,8.93763275024185,2.93994643553315
"21",31,6.86571894300886,9.75935350626032,4.02375315048136
"22",32,7.64709231541239,10.4351667057054,4.75150678121045
"23",33,8.99369504287378,11.2976757378562,6.57629192036773
"24",34,7.58090556617073,9.98594614866973,4.96903342994882
"25",35,6.35813197534908,9.16814859165452,3.62821781353888
"26",36,5.62012726364665,8.54946485812498,2.76719142255994
"27",37,4.79500743455393,7.5394206308256,2.10835241275994
"28",38,4.14222323963107,6.87332579234442,1.34678714421305
"29",39,3.16611230451235,5.53461760727874,0.563498342168835
"30",40,2.25757365846053,4.34711141814565,-0.044316064282544
"31",41,1.91746216937465,3.45349597539928,0.353540837870788
"32",42,1.40399354373396,2.40653155072824,0.3980447471813
"33",43,1.46349394957203,2.03558393734038,0.85412663777261
"34",44,1.28141695363824,1.53404479329407,1.02235779271051
"35",45,1.21307020251102,1.42313005590702,1.01624010573712
"36",46,1.06347773762838,1.25288526047073,0.866652292050836
"37",47,0.990080515773109,1.27157633736983,0.712799299002539
"38",48,0.899142612811005,1.21756834841674,0.571673017072946
"39",49,0.78879262006793,1.28197246375962,0.328866164562779
"40",50,0.873838997687446,1.41476224502577,0.340558802127375
"41",51,0.767256398817663,1.2531265694157,0.284543401330052
"42",52,0.641491955183507,1.0971105391858,0.165856947977282
