"","model","week","Laag","Gemiddeld","Hoog"
"63","Statisch",31,9745.29385717726,10718.3749265694,11655.2930391886
"64","Statisch",32,9775.41832990797,10751.5074568297,11691.3216536537
"65","Statisch",33,9850.72951770586,10834.3387825063,11781.3932063763
"66","Statisch",34,9892.9037743765,10880.7243254108,11831.8332904319
"67","Statisch",35,9921.01996311749,10911.6480209836,11865.4600365159
"68","Statisch",36,9938.09050453278,10930.4231216146,11885.8762674875
"69","Statisch",37,9957.16934126328,10951.4070581137,11908.6944086899
"70","Statisch",38,9984.2813786995,10981.2263370185,11941.1201832115
"71","Statisch",39,10023.4432320375,11024.2986285651,11987.9574177356
"72","Statisch",40,10107.7918774891,11117.0697190196,12088.8375480666
"73","Statisch",41,10247.368773988,11270.5837824876,12255.7699703347
"74","Statisch",42,10484.3479599541,11531.226366278,12539.1948557024
"75","Statisch",43,10988.4306203033,12085.6440802854,13142.0731292946
"76","Statisch",44,12048.8112912456,13251.9092380092,14410.279089203
"77","Statisch",45,13465.6642392802,14810.24267948,16104.8222416208
"78","Statisch",46,14799.173802777,16276.9094658022,17699.6871238941
"79","Statisch",47,15926.8318972524,17517.1706183216,19048.3567173408
"80","Statisch",48,16804.4573216266,18482.4317531798,20097.9892281172
"81","Statisch",49,17506.3564238804,19254.4197850939,20937.4553598317
"82","Statisch",50,18175.1193086098,19989.9620249419,21737.2902804248
"83","Statisch",51,18831.8323089549,20712.2512692903,22522.7136406944
"84","Statisch",52,19368.0468845241,21302.010364015,23164.0225232751
"85","Interventie",11,-83.13377912831,121.372825287529,320.648140117818
"86","Interventie",12,152.825595218849,563.901538690002,978.66613756126
"87","Interventie",13,963.998234114895,1601.39812950812,2228.9517699754
"88","Interventie",14,2528.52548009859,3348.96140808453,4154.10884708241
"89","Interventie",15,4389.39385419414,5348.78018505207,6255.2530281267
"90","Interventie",16,5900.87550467448,6900.72241763516,7889.00874455193
"91","Interventie",17,6863.00278774957,7905.23681009597,8972.88832795641
"92","Interventie",18,7252.7694316244,8380.00588916929,9525.86548434458
"93","Interventie",19,7593.85688452343,8782.7521554318,10038.304488969
"94","Interventie",20,7674.63987213351,8905.1503862309,10207.6386266759
"95","Interventie",21,7695.50747313518,9032.86014978145,10394.5961725336
"96","Interventie",22,7658.65515744882,9070.43312226496,10481.9241171457
"97","Interventie",23,7480.33951159029,8962.22486729004,10443.2906598266
"98","Interventie",24,7372.15351840949,8919.67969681406,10420.6032378397
"99","Interventie",25,7240.43516308587,8808.17836071512,10342.1005726498
"100","Interventie",26,7116.92655573382,8805.09216564673,10427.0047402535
"101","Interventie",27,6986.28596599144,8673.0846630977,10314.9091318627
"102","Interventie",28,6743.84622698178,8488.03257353394,10173.5253399314
"103","Interventie",29,6632.23160128021,8436.10477672911,10231.235528604
"104","Interventie",30,6484.26072934547,8365.93184552268,10256.017156154
"105","Interventie",31,6497.39951091655,8429.48374266008,10307.904524079
"106","Interventie",32,6644.01715723984,8593.65133532296,10518.8561348255
"107","Interventie",33,7373.44512357851,9412.52007000349,11394.3033075969
"108","Interventie",34,7662.85250805271,9722.48857618056,11801.3392920788
"109","Interventie",35,7590.79827865227,9745.16500160118,11958.0531238651
"110","Interventie",36,7616.52294183353,9775.38540959517,11934.4368620045
"111","Interventie",37,7501.64045230701,9722.02438176698,11975.9546643229
"112","Interventie",38,7519.68354859361,9807.91647012876,12104.929231994
"113","Interventie",39,7519.09420307139,9825.85143094501,12173.7327391141
"114","Interventie",40,7530.16767423507,9846.26093593935,12222.265390222
"115","Interventie",41,7674.90734199068,9999.08446330224,12456.2802521392
"116","Interventie",42,7860.4055335625,10250.6911947737,12718.1642184275
"117","Interventie",43,8471.20449760855,10895.4263838438,13338.86260068
"118","Interventie",44,9569.34571317252,12084.4335733294,14601.0590398667
"119","Interventie",45,11101.5153405812,13591.53870499,16109.0814588602
"120","Interventie",46,12297.0244595083,14875.9895713976,17429.1570137512
"121","Interventie",47,13270.0285743873,15918.6920321297,18512.4848450749
"122","Interventie",48,14073.634722623,16682.7854067812,19343.1362831555
"123","Interventie",49,14603.3236765069,17240.4726609515,19938.4523533499
"124","Interventie",50,15140.3145401415,17809.6718534167,20508.3590666652
"125","Interventie",51,15594.45134263,18303.859757914,21050.2800994025
"126","Interventie",52,15939.4017257367,18671.650963239,21429.3457936794
"127","CBS/AMC",44,0,62634.6976744186,0
"128","CBS/AMC",45,0,131433.5,0
