"","week","mid","upr","lwr"
"1",11,1.06860290729366,1.21691963284219,0.921775453797372
"2",12,1.06860542987258,1.21723863546521,0.921754216148878
"3",13,1.06859948951946,1.21714789922446,0.922027675683388
"4",14,1.06859072211051,1.2169587263203,0.921983896587099
"5",15,1.06858151172906,1.21677324167306,0.922363599726453
"6",16,1.06858082754717,1.2172231106504,0.922146101900131
"7",17,1.06858055386039,1.21738896368765,0.921429082081813
"8",18,1.06858169428191,1.21746335773914,0.921409317689382
"9",19,1.06858210614665,1.21736052259874,0.921365127405457
"10",20,1.06858066903263,1.21686465971426,0.920771795394683
"11",21,1.06856272598358,1.21756787183133,0.920491145031091
"12",22,1.06855132005699,1.21772799865468,0.920206568593175
"13",23,1.06854624676962,1.2177809969756,0.920213807172817
"14",24,1.06852814161303,1.21798480834868,0.919672827319749
"15",25,1.06852122679109,1.21779364559233,0.92017636054549
"16",26,1.06851822942967,1.2178673987888,0.919592157267908
"17",27,1.06851054700236,1.21743863968573,0.919874837170675
"18",28,1.06849171671729,1.21727090034935,0.919315077733396
"19",29,1.06848288102328,1.21759073844442,0.919087957578781
"20",30,1.06846323547405,1.21779755634199,0.919226177208703
"21",31,1.06845362442772,1.21740057456314,0.919317106412708
"22",32,1.0684585752342,1.21770615575058,0.919272175437893
"23",33,1.06845042082903,1.21781897168008,0.919324917042777
"24",34,1.06844767539075,1.21735754329422,0.919775967145477
"25",35,1.06843814012952,1.21721196147575,0.919700041684792
"26",36,1.06844625159153,1.2172511023046,0.920041853791949
"27",37,1.0684192467978,1.21703021352799,0.919745349758423
"28",38,1.06842996022635,1.2171678376492,0.919142507550944
"29",39,1.06841437331206,1.21713795997727,0.918627849853227
"30",40,1.06841632482344,1.21780987897558,0.918601825408178
"31",41,1.06843541227262,1.21776509074797,0.919041382913635
"32",42,1.06842299805446,1.21773891172461,0.919118136580554
"33",43,1.06841857801636,1.21711324564631,0.918835591378312
"34",44,1.06840638201835,1.21728402694916,0.918871812070313
"35",45,1.06839744118236,1.21688045632116,0.918749334896356
"36",46,1.06837945971395,1.21735289263384,0.918808561844451
"37",47,1.06837112391115,1.21762163863773,0.919071014045065
"38",48,1.06835636947261,1.21769846158893,0.919075388145559
"39",49,1.06834148931159,1.21766345441397,0.919080774899208
"40",50,1.0683394084805,1.21805078999039,0.919241604425221
"41",51,1.06834414915236,1.21765944168865,0.919243199778619
"42",52,1.06833813824905,1.21742025102702,0.919213929235585
