date,lower,mid,upper
2020-12-15,0.91,0.95,0.99
2020-12-16,0.89,0.94,0.98
2020-12-17,0.88,0.93,0.96
2020-12-18,0.86,0.92,0.95
2020-12-19,0.85,0.91,0.95
2020-12-20,0.85,0.9,0.94
2020-12-21,0.84,0.9,0.93
2020-12-22,0.84,0.89,0.93
2020-12-23,0.84,0.89,0.93
2020-12-24,0.84,0.89,0.93
2020-12-25,0.84,0.89,0.93
2020-12-26,0.85,0.89,0.93
2020-12-27,0.85,0.89,0.93
2020-12-28,0.85,0.89,0.93
2020-12-29,0.86,0.9,0.93
2020-12-30,0.86,0.9,0.94
2020-12-31,0.86,0.9,0.94
2021-01-01,0.87,0.9,0.94
2021-01-02,0.87,0.91,0.94
2021-01-03,0.87,0.91,0.95
2021-01-04,0.87,0.91,0.95
2021-01-05,0.88,0.91,0.95
2021-01-06,0.88,0.92,0.96
2021-01-07,0.88,0.92,0.96
2021-01-08,0.88,0.92,0.96
2021-01-09,0.88,0.92,0.96
2021-01-10,0.89,0.92,0.96
2021-01-11,0.89,0.92,0.96
2021-01-12,0.89,0.92,0.96
2021-01-13,0.89,0.92,0.96
2021-01-14,0.89,0.92,0.96
2021-01-15,0.88,0.92,0.96
2021-01-16,0.88,0.91,0.96
2021-01-17,0.88,0.91,0.96
2021-01-18,0.88,0.91,0.95
2021-01-19,0.87,0.91,0.95
2021-01-20,0.87,0.91,0.94
2021-01-21,0.87,0.91,0.94
2021-01-22,0.86,0.91,0.94
2021-01-23,0.86,0.91,0.94
2021-01-24,0.86,0.91,0.94
2021-01-25,0.87,0.91,0.95
2021-01-26,0.87,0.92,0.95
2021-01-27,0.87,0.92,0.96
2021-01-28,0.88,0.93,0.97
2021-01-29,0.89,0.94,0.98
2021-01-30,0.9,0.95,0.98
2021-01-31,0.91,0.96,1
2021-02-01,0.92,0.97,1.01
2021-02-02,0.94,0.99,1.02
2021-02-03,0.96,1,1.04
2021-02-04,0.98,1.01,1.06
2021-02-05,0.99,1.03,1.08
2021-02-06,1,1.04,1.09
2021-02-07,1.02,1.06,1.11
2021-02-08,1.02,1.07,1.13
2021-02-09,1.03,1.08,1.14
2021-02-10,1.04,1.09,1.15
2021-02-11,1.04,1.09,1.16
2021-02-12,1.05,1.1,1.16
2021-02-13,1.05,1.1,1.16
2021-02-14,1.05,1.1,1.16
2021-02-15,1.05,1.09,1.15
2021-02-16,1.04,1.09,1.14
2021-02-17,1.03,1.08,1.13
2021-02-18,1.01,1.08,1.13
2021-02-19,0.99,1.07,1.14
2021-02-20,0.97,1.06,1.14
2021-02-21,0.94,1.05,1.15
2021-02-22,0.9,1.04,1.16
2021-02-23,0.87,1.04,1.16
2021-02-24,0.84,1.03,1.17
2021-02-25,0.8,1.02,1.18
2021-02-26,0.76,1.02,1.19
2021-02-27,0.73,1.01,1.21
2021-02-28,0.69,1.01,1.23
2021-03-01,0.67,1.01,1.25
2021-03-02,0.64,1,1.27
