date,lower,mid,upper
2020-11-03,0.72,0.82,0.91
2020-11-04,0.79,0.89,1.01
2020-11-05,0.85,0.96,1.1
2020-11-06,0.9,1.02,1.18
2020-11-07,0.94,1.07,1.24
2020-11-08,0.97,1.1,1.27
2020-11-09,0.99,1.11,1.28
2020-11-10,1,1.12,1.27
2020-11-11,0.99,1.1,1.24
2020-11-12,0.98,1.08,1.2
2020-11-13,0.95,1.05,1.16
2020-11-14,0.92,1.02,1.12
2020-11-15,0.87,1,1.09
2020-11-16,0.84,0.97,1.06
2020-11-17,0.83,0.96,1.05
2020-11-18,0.82,0.95,1.04
2020-11-19,0.83,0.95,1.05
2020-11-20,0.85,0.96,1.05
2020-11-21,0.88,0.98,1.07
2020-11-22,0.92,1.01,1.09
2020-11-23,0.96,1.04,1.14
2020-11-24,1,1.08,1.19
2020-11-25,1.04,1.12,1.25
2020-11-26,1.08,1.16,1.3
2020-11-27,1.12,1.21,1.34
2020-11-28,1.16,1.24,1.36
2020-11-29,1.19,1.28,1.39
2020-11-30,1.21,1.3,1.41
2020-12-01,1.22,1.32,1.42
2020-12-02,1.21,1.32,1.43
2020-12-03,1.21,1.33,1.42
2020-12-04,1.2,1.32,1.41
2020-12-05,1.19,1.3,1.4
2020-12-06,1.18,1.28,1.37
2020-12-07,1.16,1.24,1.34
2020-12-08,1.12,1.21,1.3
2020-12-09,1.08,1.16,1.27
2020-12-10,1.04,1.12,1.23
2020-12-11,0.99,1.07,1.19
2020-12-12,0.94,1.02,1.13
2020-12-13,0.9,0.97,1.07
2020-12-14,0.85,0.93,1.02
2020-12-15,0.81,0.89,0.97
2020-12-16,0.77,0.85,0.93
2020-12-17,0.74,0.82,0.9
2020-12-18,0.71,0.8,0.88
2020-12-19,0.69,0.79,0.86
2020-12-20,0.68,0.79,0.86
2020-12-21,0.69,0.79,0.86
2020-12-22,0.7,0.8,0.87
2020-12-23,0.72,0.81,0.89
2020-12-24,0.74,0.83,0.91
2020-12-25,0.76,0.85,0.94
2020-12-26,0.78,0.87,0.98
2020-12-27,0.8,0.89,1.02
2020-12-28,0.82,0.9,1.04
2020-12-29,0.83,0.92,1.05
2020-12-30,0.83,0.93,1.06
2020-12-31,0.83,0.93,1.06
2021-01-01,0.82,0.93,1.05
2021-01-02,0.81,0.92,1.04
2021-01-03,0.79,0.91,1.02
2021-01-04,0.77,0.89,1
2021-01-05,0.76,0.88,0.98
2021-01-06,0.73,0.87,0.97
2021-01-07,0.72,0.86,0.97
2021-01-08,0.71,0.84,0.97
2021-01-09,0.69,0.83,0.97
2021-01-10,0.66,0.83,0.99
2021-01-11,0.62,0.83,1.02
2021-01-12,0.58,0.83,1.07
2021-01-13,0.54,0.83,1.16
2021-01-14,0.49,0.83,1.29
2021-01-15,0.45,0.83,1.41
2021-01-16,0.41,0.83,1.58
2021-01-17,0.37,0.83,1.78
2021-01-18,0.34,0.83,2.02
2021-01-19,0.3,0.83,2.28
