date,lower,mid,upper
2020-06-01,0.56,0.71,0.89
2020-06-02,0.58,0.71,0.86
2020-06-03,0.6,0.71,0.83
2020-06-04,0.61,0.71,0.81
2020-06-05,0.63,0.71,0.8
2020-06-06,0.64,0.71,0.79
2020-06-07,0.65,0.72,0.78
2020-06-08,0.66,0.73,0.79
2020-06-09,0.67,0.73,0.79
2020-06-10,0.68,0.74,0.8
2020-06-11,0.69,0.76,0.82
2020-06-12,0.7,0.77,0.84
2020-06-13,0.71,0.78,0.86
2020-06-14,0.73,0.79,0.87
2020-06-15,0.74,0.81,0.89
2020-06-16,0.75,0.82,0.91
2020-06-17,0.76,0.83,0.93
2020-06-18,0.78,0.84,0.94
2020-06-19,0.79,0.86,0.94
2020-06-20,0.8,0.87,0.95
2020-06-21,0.81,0.88,0.95
2020-06-22,0.81,0.89,0.96
2020-06-23,0.82,0.9,0.97
2020-06-24,0.83,0.92,0.99
2020-06-25,0.83,0.93,1.01
2020-06-26,0.85,0.96,1.04
2020-06-27,0.87,0.98,1.06
2020-06-28,0.9,1.02,1.09
2020-06-29,0.94,1.05,1.12
2020-06-30,0.98,1.08,1.16
2020-07-01,1.03,1.12,1.2
2020-07-02,1.08,1.16,1.25
2020-07-03,1.12,1.2,1.3
2020-07-04,1.16,1.24,1.35
2020-07-05,1.19,1.28,1.4
2020-07-06,1.21,1.3,1.44
2020-07-07,1.23,1.32,1.47
2020-07-08,1.25,1.34,1.48
2020-07-09,1.26,1.35,1.48
2020-07-10,1.26,1.35,1.47
2020-07-11,1.26,1.34,1.45
2020-07-12,1.25,1.33,1.43
2020-07-13,1.23,1.32,1.41
2020-07-14,1.21,1.31,1.4
2020-07-15,1.19,1.31,1.4
2020-07-16,1.18,1.3,1.39
2020-07-17,1.17,1.3,1.4
2020-07-18,1.18,1.3,1.39
2020-07-19,1.19,1.31,1.4
2020-07-20,1.21,1.32,1.4
2020-07-21,1.23,1.33,1.4
2020-07-22,1.25,1.34,1.41
2020-07-23,1.27,1.34,1.43
2020-07-24,1.27,1.35,1.45
2020-07-25,1.27,1.35,1.46
2020-07-26,1.26,1.34,1.46
2020-07-27,1.24,1.32,1.44
2020-07-28,1.21,1.3,1.41
2020-07-29,1.19,1.27,1.37
2020-07-30,1.15,1.23,1.33
2020-07-31,1.12,1.19,1.28
2020-08-01,1.07,1.14,1.22
2020-08-02,1.03,1.1,1.17
2020-08-03,0.98,1.06,1.12
2020-08-04,0.94,1.02,1.08
2020-08-05,0.91,0.98,1.04
2020-08-06,0.87,0.95,1.01
2020-08-07,0.85,0.92,0.98
2020-08-08,0.83,0.9,0.96
2020-08-09,0.82,0.89,0.94
2020-08-10,0.81,0.88,0.93
2020-08-11,0.81,0.88,0.93
2020-08-12,0.81,0.88,0.94
2020-08-13,0.83,0.89,0.95
2020-08-14,0.84,0.9,0.96
2020-08-15,0.86,0.92,0.98
2020-08-16,0.88,0.94,1
2020-08-17,0.9,0.96,1.03
2020-08-18,0.93,0.99,1.06
2020-08-19,0.96,1.02,1.09
2020-08-20,1,1.05,1.13
2020-08-21,1.03,1.08,1.16
2020-08-22,1.06,1.12,1.2
2020-08-23,1.09,1.15,1.23
2020-08-24,1.11,1.18,1.26
2020-08-25,1.14,1.21,1.29
2020-08-26,1.16,1.23,1.31
2020-08-27,1.18,1.25,1.33
2020-08-28,1.2,1.27,1.35
2020-08-29,1.21,1.28,1.36
2020-08-30,1.22,1.29,1.36
2020-08-31,1.22,1.3,1.37
2020-09-01,1.23,1.3,1.37
2020-09-02,1.22,1.3,1.37
2020-09-03,1.22,1.29,1.37
2020-09-04,1.21,1.29,1.36
2020-09-05,1.21,1.28,1.35
2020-09-06,1.2,1.27,1.34
2020-09-07,1.2,1.27,1.34
2020-09-08,1.19,1.26,1.33
2020-09-09,1.19,1.25,1.32
2020-09-10,1.18,1.24,1.32
2020-09-11,1.17,1.23,1.31
2020-09-12,1.17,1.23,1.31
2020-09-13,1.16,1.22,1.3
2020-09-14,1.15,1.21,1.28
2020-09-15,1.14,1.2,1.27
2020-09-16,1.14,1.2,1.25
2020-09-17,1.13,1.19,1.24
2020-09-18,1.12,1.19,1.24
2020-09-19,1.11,1.19,1.24
2020-09-20,1.11,1.19,1.24
2020-09-21,1.12,1.19,1.24
2020-09-22,1.13,1.2,1.25
2020-09-23,1.14,1.21,1.26
2020-09-24,1.16,1.21,1.27
2020-09-25,1.17,1.22,1.28
2020-09-26,1.18,1.23,1.29
2020-09-27,1.19,1.23,1.31
2020-09-28,1.19,1.24,1.32
2020-09-29,1.19,1.24,1.33
2020-09-30,1.19,1.24,1.33
2020-10-01,1.18,1.23,1.32
2020-10-02,1.18,1.23,1.3
2020-10-03,1.17,1.22,1.28
2020-10-04,1.15,1.21,1.26
2020-10-05,1.13,1.2,1.24
2020-10-06,1.11,1.18,1.23
2020-10-07,1.09,1.17,1.22
2020-10-08,1.07,1.16,1.21
2020-10-09,1.06,1.15,1.19
2020-10-10,1.05,1.14,1.18
2020-10-11,1.05,1.12,1.17
2020-10-12,1.05,1.11,1.16
2020-10-13,1.05,1.1,1.15
2020-10-14,1.04,1.08,1.14
2020-10-15,1.02,1.07,1.14
2020-10-16,1,1.05,1.13
2020-10-17,0.98,1.02,1.12
2020-10-18,0.95,1,1.1
2020-10-19,0.93,0.97,1.06
2020-10-20,0.91,0.95,1.03
2020-10-21,0.88,0.92,0.99
2020-10-22,0.86,0.9,0.95
2020-10-23,0.83,0.87,0.91
2020-10-24,0.8,0.85,0.89
2020-10-25,0.77,0.83,0.87
2020-10-26,0.74,0.82,0.86
2020-10-27,0.73,0.81,0.85
2020-10-28,0.72,0.8,0.85
2020-10-29,0.72,0.8,0.85
2020-10-30,0.73,0.8,0.85
2020-10-31,0.74,0.81,0.86
2020-11-01,0.76,0.82,0.87
2020-11-02,0.79,0.84,0.88
2020-11-03,0.81,0.86,0.91
2020-11-04,0.83,0.88,0.95
2020-11-05,0.86,0.91,0.99
2020-11-06,0.88,0.94,1.03
2020-11-07,0.91,0.97,1.06
2020-11-08,0.94,1,1.09
